,Stage,Day,HDI_Lower,HDI_Upper,Mean,PlotDay
0,Baseline,0,-8.539,0.926,-4.167,-25
1,Baseline,1,-8.1,-0.739,-4.483,-24
2,Baseline,2,-7.673,-1.584,-4.564,-23
3,Baseline,3,-7.261,-2.126,-4.605,-22
4,Baseline,4,-6.837,-2.471,-4.63,-21
5,Baseline,5,-6.552,-2.818,-4.648,-20
6,Baseline,6,-6.37,-3.138,-4.663,-19
7,Baseline,7,-6.058,-3.223,-4.676,-18
8,Baseline,8,-5.919,-3.366,-4.688,-17
9,Baseline,9,-5.88,-3.544,-4.7,-16
10,Baseline,10,-5.85,-3.642,-4.711,-15
11,Baseline,11,-4.933,-2.41,-3.71,-14
12,Baseline,12,-4.877,-2.588,-3.805,-13
13,Baseline,13,-4.939,-2.822,-3.889,-12
14,Baseline,14,-4.96,-2.899,-3.995,-11
15,Baseline,15,-5.023,-3.05,-4.027,-10
16,Baseline,16,-5.014,-3.041,-4.084,-9
17,Baseline,17,-4.388,-2.56,-3.467,-8
18,Baseline,18,-4.411,-2.566,-3.517,-7
19,Baseline,19,-4.8,-2.315,-3.572,-6
20,Baseline,20,-4.675,-2.311,-3.532,-5
21,Baseline,21,-4.65,-2.381,-3.494,-4
22,Baseline,22,-4.565,-2.375,-3.459,-3
23,Baseline,23,-3.785,-1.538,-2.748,-2
24,Baseline,24,-3.803,-1.661,-2.7,-1
25,Rotation,0,7.548,15.787,11.427,0
26,Rotation,1,5.075,9.47,7.11,1
27,Rotation,2,3.336,6.602,5.02,2
28,Rotation,3,2.553,5.199,3.795,3
29,Rotation,4,1.867,4.175,2.979,4
30,Rotation,5,1.344,3.455,2.385,5
31,Rotation,6,0.906,2.934,1.924,6
32,Rotation,7,0.582,2.603,1.552,7
33,Rotation,8,0.281,2.321,1.241,8
34,Rotation,9,-0.028,2.075,0.977,9
35,Rotation,10,-0.28,1.903,0.748,10
36,Rotation,11,-0.607,1.647,0.547,11
37,Rotation,12,-0.83,1.52,0.37,12
38,Rotation,13,-1.041,1.423,0.213,13
39,Rotation,14,-1.234,1.35,0.072,14
40,Washout,0,-13.868,-4.174,-8.766,15
41,Washout,1,-7.637,-4.625,-6.193,16
42,Washout,2,-6.444,-4.474,-5.429,17
43,Washout,3,-5.792,-4.284,-5.029,18
44,Washout,4,-5.41,-4.13,-4.767,19
45,Washout,5,-5.223,-3.984,-4.577,20
46,Washout,6,-5.073,-3.801,-4.43,21
47,Washout,7,-4.968,-3.625,-4.313,22
48,Washout,8,-4.946,-3.509,-4.217,23
49,Washout,9,-4.943,-3.383,-4.136,24
50,ReRotation,0,7.616,14.674,10.959,25
51,ReRotation,1,7.052,10.682,8.843,26
52,ReRotation,2,5.836,8.658,7.299,27
53,ReRotation,3,4.792,7.279,6.063,28
54,ReRotation,4,3.889,6.219,5.053,29
55,ReRotation,5,3.056,5.386,4.214,30
56,ReRotation,6,2.183,4.748,3.379,31
57,ReRotation,7,1.421,4.079,2.676,32
58,ReRotation,8,-0.686,1.264,0.317,33
59,ReRotation,9,-1.372,0.511,-0.404,34
60,ReRotation,10,-1.95,-0.064,-1.025,35
61,ReRotation,11,-2.594,-0.661,-1.601,36
62,ReRotation,12,-3.051,-0.96,-2.032,37
63,ReRotation,13,-3.849,-1.321,-2.564,38
64,ReRotation,14,-4.372,-1.659,-2.984,39
65,ReWashout,0,-11.541,-4.84,-8.159,40
66,ReWashout,1,-8.332,-5.532,-6.901,41
67,ReWashout,2,-7.526,-5.597,-6.567,42
68,ReWashout,3,-7.256,-5.779,-6.489,43
69,ReWashout,4,-7.116,-5.843,-6.5,44
70,ReWashout,5,-7.129,-5.882,-6.544,45
71,ReWashout,6,-7.216,-5.896,-6.599,46
72,ReWashout,7,-7.381,-5.935,-6.656,47
73,ReWashout,8,-7.474,-5.876,-6.711,48
74,ReWashout,9,-7.62,-5.88,-6.763,49
