,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"μ_μ_inf[10, Baseline]",-2.494,1.03,-4.455,-0.628,0.016,0.011,4115.0,3217.0,1.0
"μ_μ_inf[10, Rotation]",-2.827,3.747,-10.406,3.215,0.084,0.066,2402.0,1876.0,1.0
"μ_μ_inf[10, Washout]",-1.42,1.917,-3.654,2.016,0.057,0.04,1632.0,1277.0,1.0
"μ_μ_inf[10, ReRotation]",-8.952,4.942,-18.415,-1.095,0.117,0.091,2166.0,1626.0,1.0
"μ_μ_inf[10, ReWashout]",-10.696,2.661,-16.26,-6.529,0.071,0.053,1870.0,1202.0,1.0
"μ_μ_inf[12, Baseline]",0.031,1.209,-2.398,2.105,0.023,0.02,3192.0,2045.0,1.0
"μ_μ_inf[12, Rotation]",0.984,4.082,-7.419,8.007,0.1,0.071,1953.0,1657.0,1.0
"μ_μ_inf[12, Washout]",-6.47,3.231,-11.363,0.492,0.099,0.075,1625.0,1156.0,1.0
"μ_μ_inf[12, ReRotation]",-8.179,4.092,-15.815,-1.834,0.105,0.081,1894.0,1803.0,1.0
"μ_μ_inf[12, ReWashout]",-3.967,0.498,-4.889,-3.076,0.01,0.007,3373.0,1965.0,1.0
"μ_μ_inf[14, Baseline]",-6.861,2.7,-12.17,-1.887,0.051,0.038,2948.0,2445.0,1.0
"μ_μ_inf[14, Rotation]",-1.002,2.838,-6.046,5.077,0.064,0.047,2422.0,1643.0,1.0
"μ_μ_inf[14, Washout]",-4.782,1.132,-6.297,-2.735,0.04,0.028,1408.0,768.0,1.0
"μ_μ_inf[14, ReRotation]",-3.77,3.434,-10.263,0.75,0.098,0.074,1699.0,1423.0,1.0
"μ_μ_inf[14, ReWashout]",-6.662,14.658,-33.98,20.939,0.171,0.221,7370.0,3195.0,1.0
"μ_μ_inf[21, Baseline]",-7.562,1.54,-10.471,-4.972,0.035,0.026,2133.0,1812.0,1.0
"μ_μ_inf[21, Rotation]",-2.479,0.533,-3.509,-1.542,0.009,0.007,4298.0,2221.0,1.0
"μ_μ_inf[21, Washout]",-4.34,0.741,-5.527,-2.832,0.021,0.015,1304.0,1953.0,1.0
"μ_μ_inf[21, ReRotation]",-3.613,12.298,-26.585,19.189,0.205,0.17,3613.0,3279.0,1.0
"μ_μ_inf[21, ReWashout]",-6.396,14.138,-34.524,18.183,0.163,0.212,7495.0,3031.0,1.0
"μ_μ_inf[3, Baseline]",-2.954,1.568,-5.723,0.165,0.031,0.022,2872.0,2494.0,1.0
"μ_μ_inf[3, Rotation]",2.516,1.387,-0.161,5.123,0.022,0.015,4335.0,2304.0,1.0
"μ_μ_inf[3, Washout]",-5.637,1.518,-8.537,-2.928,0.031,0.022,3491.0,1808.0,1.0
"μ_μ_inf[3, ReRotation]",11.796,6.004,1.305,24.603,0.13,0.092,2283.0,1627.0,1.0
"μ_μ_inf[3, ReWashout]",-6.394,13.962,-31.929,20.592,0.179,0.213,6072.0,2769.0,1.0
"μ_μ_inf[7, Baseline]",-3.225,2.898,-8.411,1.601,0.077,0.063,2026.0,1357.0,1.0
"μ_μ_inf[7, Rotation]",-1.109,4.451,-9.144,6.539,0.115,0.087,1524.0,1587.0,1.0
"μ_μ_inf[7, Washout]",0.223,3.308,-4.387,7.195,0.078,0.056,2004.0,2220.0,1.0
"μ_μ_inf[7, ReRotation]",3.124,5.226,-7.006,13.364,0.135,0.095,1788.0,1626.0,1.0
"μ_μ_inf[7, ReWashout]",-6.113,13.932,-31.72,19.726,0.165,0.207,7191.0,3071.0,1.0
"μ_μ_inf[9, Baseline]",0.878,1.129,-1.249,2.969,0.021,0.017,2913.0,2614.0,1.0
"μ_μ_inf[9, Rotation]",-6.577,5.869,-17.941,3.455,0.13,0.1,2250.0,2117.0,1.0
"μ_μ_inf[9, Washout]",-2.015,3.695,-8.551,6.19,0.083,0.062,2422.0,1800.0,1.0
"μ_μ_inf[9, ReRotation]",-2.384,1.265,-4.594,-0.245,0.033,0.029,2542.0,1591.0,1.0
"μ_μ_inf[9, ReWashout]",-7.463,2.333,-12.438,-3.446,0.06,0.047,1879.0,1419.0,1.0
