,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"x[10, Baseline]",0.601,1.211,-1.621,2.961,0.019,0.016,4447.0,3164.0,1.0
"x[10, Rotation]",-1.981,1.756,-4.929,0.169,0.03,0.024,4428.0,2602.0,1.0
"x[10, Washout]",5.332,23.755,-35.965,46.048,0.509,0.36,2618.0,1796.0,1.0
"x[10, ReRotation]",-4.904,1.752,-8.292,-2.299,0.03,0.022,3927.0,2642.0,1.0
"x[10, ReWashout]",-0.589,1.108,-1.899,0.582,0.017,0.012,4802.0,3130.0,1.0
"x[12, Baseline]",-0.893,4.011,-6.991,5.116,0.071,0.06,3820.0,2371.0,1.0
"x[12, Rotation]",-2.152,9.212,-10.895,1.958,0.167,0.118,2612.0,1944.0,1.0
"x[12, Washout]",0.496,20.208,-11.639,11.88,0.436,0.318,3981.0,2631.0,1.0
"x[12, ReRotation]",-3.237,1.38,-5.605,-1.205,0.023,0.017,4087.0,3284.0,1.0
"x[12, ReWashout]",8.154,11.851,-3.479,27.264,0.36,0.255,2048.0,1572.0,1.0
"x[14, Baseline]",-0.433,3.528,-3.217,3.132,0.095,0.067,2210.0,1285.0,1.0
"x[14, Rotation]",0.652,7.223,-5.695,10.896,0.136,0.097,3339.0,2259.0,1.0
"x[14, Washout]",3.411,4.958,-0.437,11.447,0.125,0.089,2081.0,1730.0,1.0
"x[14, ReRotation]",-3.649,3.521,-9.44,-0.176,0.08,0.066,2705.0,2396.0,1.0
"x[14, ReWashout]",-0.827,7.195,-13.912,8.992,0.121,0.107,5085.0,2993.0,1.0
"x[21, Baseline]",-0.605,0.676,-1.742,0.215,0.012,0.011,4453.0,2306.0,1.0
"x[21, Rotation]",-10.018,4.746,-18.796,-2.413,0.085,0.063,3409.0,2883.0,1.0
"x[21, Washout]",15.315,45.727,-21.162,83.004,1.006,0.712,2113.0,2110.0,1.0
"x[21, ReRotation]",-2.778,4.688,-9.918,3.04,0.085,0.064,3734.0,2933.0,1.0
"x[21, ReWashout]",-1.222,8.613,-13.297,9.67,0.166,0.127,4517.0,2184.0,1.0
"x[3, Baseline]",-1.558,9.192,-11.578,2.129,0.17,0.12,2175.0,2224.0,1.0
"x[3, Rotation]",-27.674,21.864,-68.709,-1.319,0.416,0.322,2949.0,2654.0,1.0
"x[3, Washout]",14.5,34.12,-17.596,77.565,0.708,0.501,2197.0,3253.0,1.0
"x[3, ReRotation]",2.471,3.399,-1.209,8.01,0.056,0.04,2777.0,2364.0,1.0
"x[3, ReWashout]",-1.125,7.677,-12.163,9.27,0.122,0.101,4971.0,3163.0,1.0
"x[7, Baseline]",-3.032,6.516,-13.716,6.559,0.104,0.08,4865.0,2740.0,1.0
"x[7, Rotation]",-2.076,2.201,-4.384,-0.367,0.056,0.04,3066.0,1781.0,1.0
"x[7, Washout]",1.618,3.647,-0.471,5.31,0.079,0.056,3436.0,1990.0,1.0
"x[7, ReRotation]",-0.137,0.95,-1.438,1.271,0.015,0.012,3381.0,2983.0,1.0
"x[7, ReWashout]",-0.868,6.086,-11.421,9.026,0.089,0.083,6673.0,3089.0,1.0
"x[9, Baseline]",2.257,1.797,-1.185,5.679,0.026,0.019,4633.0,3060.0,1.0
"x[9, Rotation]",-2.505,2.962,-7.094,0.245,0.056,0.04,4175.0,2859.0,1.0
"x[9, Washout]",1.673,5.911,-2.923,7.907,0.111,0.079,3831.0,2743.0,1.0
"x[9, ReRotation]",-4.043,3.3,-9.985,-0.054,0.067,0.047,2488.0,2508.0,1.0
"x[9, ReWashout]",-0.258,3.164,-2.853,1.986,0.086,0.06,3648.0,2050.0,1.0
