,Stage,Day,HDI_Lower,HDI_Upper,Mean,PlotDay
0,Baseline,0,-9.04,0.63,-4.176,-25
1,Baseline,1,-8.464,-0.882,-4.466,-24
2,Baseline,2,-7.667,-1.456,-4.542,-23
3,Baseline,3,-7.194,-2.022,-4.581,-22
4,Baseline,4,-6.854,-2.475,-4.605,-21
5,Baseline,5,-6.472,-2.732,-4.623,-20
6,Baseline,6,-6.331,-3.091,-4.638,-19
7,Baseline,7,-6.12,-3.266,-4.65,-18
8,Baseline,8,-6.025,-3.468,-4.662,-17
9,Baseline,9,-5.896,-3.549,-4.674,-16
10,Baseline,10,-5.817,-3.622,-4.685,-15
11,Baseline,11,-5.031,-2.431,-3.7,-14
12,Baseline,12,-5.057,-2.684,-3.792,-13
13,Baseline,13,-4.927,-2.722,-3.872,-12
14,Baseline,14,-5.061,-2.919,-3.976,-11
15,Baseline,15,-5.097,-3.036,-4.005,-10
16,Baseline,16,-5.034,-2.989,-4.06,-9
17,Baseline,17,-4.363,-2.534,-3.457,-8
18,Baseline,18,-4.397,-2.553,-3.507,-7
19,Baseline,19,-4.839,-2.293,-3.571,-6
20,Baseline,20,-4.736,-2.332,-3.529,-5
21,Baseline,21,-4.676,-2.358,-3.489,-4
22,Baseline,22,-4.604,-2.358,-3.452,-3
23,Baseline,23,-3.883,-1.669,-2.753,-2
24,Baseline,24,-3.789,-1.69,-2.703,-1
25,Rotation,0,7.244,15.649,11.435,0
26,Rotation,1,4.839,9.216,7.115,1
27,Rotation,2,3.4,6.671,5.027,2
28,Rotation,3,2.479,5.174,3.802,3
29,Rotation,4,1.824,4.132,2.985,4
30,Rotation,5,1.401,3.498,2.388,5
31,Rotation,6,0.964,2.929,1.925,6
32,Rotation,7,0.555,2.485,1.55,7
33,Rotation,8,0.25,2.188,1.237,8
34,Rotation,9,-0.028,1.967,0.969,9
35,Rotation,10,-0.328,1.751,0.737,10
36,Rotation,11,-0.589,1.59,0.534,11
37,Rotation,12,-0.801,1.519,0.354,12
38,Rotation,13,-1.042,1.393,0.195,13
39,Rotation,14,-1.276,1.277,0.051,14
40,Washout,0,-13.314,-3.44,-8.602,15
41,Washout,1,-7.648,-4.603,-6.166,16
42,Washout,2,-6.508,-4.547,-5.422,17
43,Washout,3,-5.751,-4.265,-5.029,18
44,Washout,4,-5.404,-4.1,-4.771,19
45,Washout,5,-5.201,-3.972,-4.584,20
46,Washout,6,-5.06,-3.814,-4.44,21
47,Washout,7,-4.96,-3.614,-4.326,22
48,Washout,8,-4.951,-3.499,-4.232,23
49,Washout,9,-4.899,-3.324,-4.154,24
50,ReRotation,0,7.15,14.416,11.034,25
51,ReRotation,1,6.92,10.654,8.859,26
52,ReRotation,2,5.934,8.795,7.31,27
53,ReRotation,3,4.815,7.334,6.073,28
54,ReRotation,4,3.858,6.259,5.062,29
55,ReRotation,5,3.085,5.489,4.223,30
56,ReRotation,6,2.016,4.675,3.388,31
57,ReRotation,7,1.38,4.12,2.685,32
58,ReRotation,8,-0.689,1.327,0.339,33
59,ReRotation,9,-1.358,0.572,-0.383,34
60,ReRotation,10,-1.928,-0.003,-1.006,35
61,ReRotation,11,-2.57,-0.615,-1.585,36
62,ReRotation,12,-3.059,-0.946,-2.017,37
63,ReRotation,13,-3.784,-1.208,-2.569,38
64,ReRotation,14,-4.322,-1.567,-2.995,39
65,ReWashout,0,-12.102,-4.917,-8.211,40
66,ReWashout,1,-8.307,-5.539,-6.903,41
67,ReWashout,2,-7.568,-5.684,-6.577,42
68,ReWashout,3,-7.263,-5.86,-6.503,43
69,ReWashout,4,-7.135,-5.924,-6.515,44
70,ReWashout,5,-7.173,-5.994,-6.558,45
71,ReWashout,6,-7.261,-5.989,-6.612,46
72,ReWashout,7,-7.422,-6.009,-6.669,47
73,ReWashout,8,-7.531,-5.971,-6.724,48
74,ReWashout,9,-7.611,-5.9,-6.775,49
