,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"μ_μ_inf[10, Baseline]",-2.451,1.077,-4.464,-0.503,0.017,0.012,4001.0,3281.0,1.0
"μ_μ_inf[10, Rotation]",-2.914,3.827,-10.974,2.721,0.085,0.069,2487.0,1822.0,1.0
"μ_μ_inf[10, Washout]",-1.548,1.698,-3.816,1.41,0.061,0.043,1169.0,1103.0,1.0
"μ_μ_inf[10, ReRotation]",-8.942,5.039,-18.606,-1.343,0.127,0.103,2028.0,1657.0,1.0
"μ_μ_inf[10, ReWashout]",-10.721,2.548,-15.895,-6.391,0.067,0.05,1810.0,1182.0,1.0
"μ_μ_inf[12, Baseline]",0.027,1.207,-2.271,2.267,0.023,0.021,3218.0,2123.0,1.0
"μ_μ_inf[12, Rotation]",1.104,3.781,-6.96,7.456,0.087,0.064,2216.0,1682.0,1.0
"μ_μ_inf[12, Washout]",-6.411,2.811,-11.976,-0.891,0.071,0.05,1893.0,1432.0,1.0
"μ_μ_inf[12, ReRotation]",-8.393,4.345,-16.502,-1.21,0.107,0.082,1983.0,1672.0,1.0
"μ_μ_inf[12, ReWashout]",-3.943,0.582,-4.958,-2.977,0.019,0.013,2134.0,987.0,1.0
"μ_μ_inf[14, Baseline]",-6.761,2.739,-11.623,-1.462,0.057,0.043,2610.0,1894.0,1.0
"μ_μ_inf[14, Rotation]",-1.068,2.913,-6.139,5.191,0.067,0.057,2333.0,1799.0,1.0
"μ_μ_inf[14, Washout]",-4.833,1.054,-6.375,-3.015,0.032,0.023,1958.0,1052.0,1.0
"μ_μ_inf[14, ReRotation]",-3.55,3.22,-9.831,0.874,0.097,0.072,1551.0,1251.0,1.0
"μ_μ_inf[14, ReWashout]",-6.493,14.002,-33.247,19.93,0.171,0.216,6692.0,2946.0,1.0
"μ_μ_inf[21, Baseline]",-7.571,1.553,-10.672,-5.063,0.034,0.025,2575.0,1945.0,1.0
"μ_μ_inf[21, Rotation]",-2.462,0.531,-3.458,-1.445,0.008,0.006,4640.0,2470.0,1.0
"μ_μ_inf[21, Washout]",-4.341,0.775,-5.65,-2.925,0.023,0.016,1412.0,1509.0,1.0
"μ_μ_inf[21, ReRotation]",-3.435,12.452,-27.195,19.241,0.2,0.181,3873.0,3111.0,1.0
"μ_μ_inf[21, ReWashout]",-6.463,14.069,-32.297,19.024,0.176,0.201,6397.0,3104.0,1.0
"μ_μ_inf[3, Baseline]",-3.025,1.51,-5.633,0.0,0.032,0.023,2416.0,2337.0,1.0
"μ_μ_inf[3, Rotation]",2.458,1.522,-0.019,5.123,0.053,0.038,1990.0,899.0,1.0
"μ_μ_inf[3, Washout]",-5.75,1.81,-8.755,-2.795,0.059,0.052,2143.0,1039.0,1.0
"μ_μ_inf[3, ReRotation]",11.676,6.501,0.159,25.018,0.147,0.104,2230.0,1560.0,1.0
"μ_μ_inf[3, ReWashout]",-6.321,14.826,-34.184,21.293,0.173,0.248,7360.0,2579.0,1.0
"μ_μ_inf[7, Baseline]",-3.084,2.765,-8.621,1.381,0.06,0.048,2598.0,2109.0,1.0
"μ_μ_inf[7, Rotation]",-1.129,4.392,-9.818,6.004,0.102,0.075,1900.0,1724.0,1.0
"μ_μ_inf[7, Washout]",0.199,3.242,-4.626,6.337,0.084,0.072,2011.0,1684.0,1.0
"μ_μ_inf[7, ReRotation]",3.125,5.213,-7.911,11.989,0.115,0.083,2298.0,2038.0,1.0
"μ_μ_inf[7, ReWashout]",-6.386,14.019,-31.925,20.952,0.183,0.219,5916.0,2795.0,1.0
"μ_μ_inf[9, Baseline]",0.885,1.153,-1.023,3.278,0.02,0.016,3439.0,2868.0,1.0
"μ_μ_inf[9, Rotation]",-6.82,6.048,-18.393,3.298,0.132,0.103,2403.0,2092.0,1.0
"μ_μ_inf[9, Washout]",-2.084,3.695,-9.049,5.522,0.08,0.062,2406.0,1968.0,1.0
"μ_μ_inf[9, ReRotation]",-2.513,1.597,-5.037,-0.182,0.056,0.05,1815.0,1213.0,1.0
"μ_μ_inf[9, ReWashout]",-7.531,2.451,-12.543,-3.208,0.059,0.045,2082.0,1722.0,1.0
