,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"x[10, Baseline]",0.607,1.239,-1.661,3.088,0.022,0.018,3482.0,2633.0,1.0
"x[10, Rotation]",-1.945,1.635,-4.753,0.184,0.028,0.024,5203.0,3191.0,1.0
"x[10, Washout]",4.699,28.595,-32.996,56.636,0.551,0.39,3112.0,2088.0,1.0
"x[10, ReRotation]",-4.879,1.716,-8.136,-2.355,0.029,0.022,3542.0,3026.0,1.0
"x[10, ReWashout]",-0.661,1.037,-2.135,0.604,0.018,0.013,4185.0,2916.0,1.0
"x[12, Baseline]",-0.884,3.486,-6.439,4.211,0.061,0.048,3830.0,2900.0,1.0
"x[12, Rotation]",-2.35,6.368,-11.929,2.228,0.131,0.093,3021.0,2636.0,1.0
"x[12, Washout]",-0.182,11.748,-14.744,14.062,0.262,0.185,2820.0,2131.0,1.0
"x[12, ReRotation]",-3.223,1.452,-5.799,-1.272,0.026,0.02,3890.0,2938.0,1.0
"x[12, ReWashout]",8.7,13.42,-3.08,29.91,0.395,0.28,1858.0,1317.0,1.0
"x[14, Baseline]",-0.39,2.846,-3.399,2.732,0.076,0.054,2646.0,2099.0,1.0
"x[14, Rotation]",0.528,9.049,-5.156,9.205,0.176,0.125,3653.0,2454.0,1.0
"x[14, Washout]",3.428,5.016,-0.807,11.092,0.147,0.104,1963.0,1370.0,1.0
"x[14, ReRotation]",-3.794,3.774,-9.881,-0.32,0.089,0.07,2573.0,2291.0,1.0
"x[14, ReWashout]",-1.15,8.174,-13.103,9.589,0.14,0.102,4814.0,2664.0,1.0
"x[21, Baseline]",-0.6,0.659,-1.659,0.184,0.013,0.009,4391.0,2419.0,1.0
"x[21, Rotation]",-10.061,4.798,-18.401,-2.539,0.085,0.067,3854.0,2641.0,1.0
"x[21, Washout]",14.047,39.439,-29.732,74.536,0.866,0.613,2250.0,2141.0,1.01
"x[21, ReRotation]",-2.73,4.46,-9.94,2.586,0.084,0.059,3594.0,2584.0,1.0
"x[21, ReWashout]",-1.258,7.405,-12.603,8.528,0.127,0.089,4746.0,3117.0,1.0
"x[3, Baseline]",-1.407,10.418,-12.85,3.777,0.269,0.191,1887.0,1408.0,1.0
"x[3, Rotation]",-27.574,22.111,-68.022,-1.116,0.426,0.311,2014.0,1471.0,1.0
"x[3, Washout]",13.288,40.188,-18.967,77.441,0.73,0.516,2263.0,2765.0,1.0
"x[3, ReRotation]",2.428,3.615,-1.363,7.97,0.065,0.046,2459.0,2076.0,1.0
"x[3, ReWashout]",-0.952,7.146,-13.359,8.712,0.115,0.088,4214.0,2941.0,1.0
"x[7, Baseline]",-3.038,5.995,-14.903,5.831,0.107,0.076,3580.0,2587.0,1.0
"x[7, Rotation]",-2.129,2.815,-4.193,-0.416,0.094,0.066,3359.0,1316.0,1.0
"x[7, Washout]",1.48,3.264,-0.401,4.073,0.072,0.051,4451.0,2136.0,1.0
"x[7, ReRotation]",-0.158,1.453,-1.528,1.225,0.025,0.018,4033.0,2969.0,1.0
"x[7, ReWashout]",-1.059,6.916,-12.685,9.314,0.126,0.089,4552.0,2406.0,1.0
"x[9, Baseline]",2.287,1.787,-0.963,5.76,0.026,0.02,4584.0,3146.0,1.0
"x[9, Rotation]",-2.447,2.775,-6.251,0.526,0.05,0.036,4249.0,2735.0,1.0
"x[9, Washout]",1.572,4.973,-3.167,7.038,0.094,0.067,3434.0,2771.0,1.0
"x[9, ReRotation]",-4.052,3.539,-10.134,0.113,0.08,0.058,2475.0,2201.0,1.0
"x[9, ReWashout]",-0.147,3.01,-2.248,1.663,0.059,0.047,4600.0,2116.0,1.0
