,fish,stage,day,plotday,y,PlotDay
0,3.0,Baseline,1.0,1.0,1.7636186450000002,-26
1,3.0,Baseline,2.0,2.0,-2.1089620215,-25
2,3.0,Baseline,3.0,3.0,-6.4656282869999995,-24
3,3.0,Baseline,4.0,4.0,-2.7120932060000005,-23
4,3.0,Baseline,5.0,5.0,-6.6304536505,-22
5,3.0,Baseline,6.0,6.0,-1.069845611,-21
6,3.0,Baseline,7.0,7.0,-9.2312844455,-20
7,3.0,Baseline,8.0,8.0,-3.5996421124999998,-19
8,3.0,Baseline,9.0,9.0,-3.9247412465,-18
9,3.0,Baseline,10.0,10.0,-2.2324399390000003,-17
10,3.0,Baseline,11.0,11.0,-7.217267392,-16
11,3.0,Baseline,12.0,12.0,-5.573691902,-15
12,3.0,Baseline,13.0,13.0,-3.2376014169999996,-14
13,3.0,Baseline,14.0,14.0,-22.0747871,-13
14,3.0,Baseline,15.0,15.0,-7.9200430345,-12
15,3.0,Baseline,16.0,16.0,-10.729862149999999,-11
16,3.0,Baseline,17.0,17.0,1.237007291,-10
17,3.0,Baseline,18.0,18.0,-7.782212643,-9
18,3.0,Baseline,19.0,19.0,-6.3807895745,-8
19,3.0,Baseline,20.0,20.0,-0.4052914304999997,-7
20,3.0,Baseline,21.0,21.0,-2.9179101125000004,-6
21,3.0,Baseline,22.0,22.0,-1.056217599,-5
22,3.0,Baseline,23.0,23.0,-8.806258454,-4
23,3.0,Baseline,24.0,24.0,-3.2845596610000003,-3
24,3.0,Baseline,25.0,25.0,1.3022172175,-2
25,3.0,Baseline,26.0,26.0,-1.6753489795,-1
26,3.0,Rotation,1.0,27.0,25.84651861,0
27,3.0,Rotation,2.0,28.0,16.63188767,1
28,3.0,Rotation,3.0,29.0,3.9600128385,2
29,3.0,Rotation,4.0,30.0,7.0230181384999995,3
30,3.0,Rotation,5.0,31.0,1.212361619,4
31,3.0,Rotation,6.0,32.0,23.152368692499998,5
32,3.0,Rotation,7.0,33.0,6.1656887860000005,6
33,3.0,Rotation,8.0,34.0,3.749661594,7
34,3.0,Rotation,9.0,35.0,-0.9313655565,8
35,3.0,Rotation,10.0,36.0,5.3597910845,9
36,3.0,Rotation,11.0,37.0,10.96493074,10
37,3.0,Rotation,12.0,38.0,2.325083519,11
38,3.0,Rotation,13.0,39.0,0.192450766,12
39,3.0,Rotation,14.0,40.0,-3.5994405975,13
40,3.0,Rotation,15.0,41.0,10.715090665,14
41,3.0,Washout,1.0,42.0,-24.1263629965,15
42,3.0,Washout,2.0,43.0,-7.4236532395,16
43,3.0,Washout,3.0,44.0,-2.762024938,17
44,3.0,Washout,4.0,45.0,-3.591468734,18
45,3.0,Washout,5.0,46.0,-8.3452243355,19
46,3.0,Washout,6.0,47.0,-3.455218145,20
47,3.0,Washout,7.0,48.0,-6.084464074,21
48,3.0,Washout,8.0,49.0,-7.915106025,22
49,3.0,Washout,9.0,50.0,-8.7655489315,23
50,3.0,Washout,10.0,51.0,-5.0717824245,24
51,3.0,ReRotation,1.0,52.0,2.0050562705,25
52,3.0,ReRotation,2.0,53.0,-0.6028686405000001,26
53,3.0,ReRotation,3.0,54.0,8.428708821499999,27
54,3.0,ReRotation,4.0,55.0,6.0254566065,28
55,3.0,ReRotation,5.0,56.0,14.550870269999999,29
56,3.0,ReRotation,6.0,57.0,5.936916771,30
57,3.0,ReRotation,7.0,58.0,13.450349265,31
58,3.0,ReRotation,8.0,59.0,-4.6118643955,32
59,7.0,Baseline,1.0,1.0,0.9090546255,-12
60,7.0,Baseline,2.0,2.0,7.9277154605,-11
61,7.0,Baseline,3.0,3.0,-2.9767613845,-10
