fish,stage,day,mean_y,median_y,mean_μ_μ_y,median_μ_μ_y,mean_μ_μ_hdi_3,median_μ_μ_hdi_3,mean_μ_μ_hdi_97,median_μ_μ_hdi_97,mean_μ_y,median_μ_y,mean_μ_hdi_3,median_μ_hdi_3,mean_μ_hdi_97,median_μ_hdi_97,mean_ppc_y,median_ppc_y,mean_ppc_hdi_3,median_ppc_hdi_3,mean_ppc_hdi_97,median_ppc_hdi_97,plotday
3,Baseline,1.0,-9.783006278,1.7636186450000002,-2.792,-2.792,-8.864,-8.864,6.076,6.076,-2.792,-2.792,-8.864,-8.864,6.076,6.076,-11.689166666666667,-6.8149999999999995,-88.08866666666667,-84.64699999999999,81.07033333333334,80.5625,1
3,Baseline,2.0,-2.5751324871666665,-2.1089620215,-3.48,-3.48,-7.53,-7.53,0.669,0.669,-3.48,-3.48,-7.53,-7.53,0.669,0.669,-7.964833333333334,0.04899999999999999,-80.39716666666666,-80.6125,65.20666666666666,63.952,2
3,Baseline,3.0,-5.532279371333334,-6.4656282869999995,-3.642,-3.642,-7.081,-7.081,-0.589,-0.589,-3.642,-3.642,-7.081,-7.081,-0.589,-0.589,-1.6844999999999997,-0.7895000000000001,-71.07549999999999,-70.25800000000001,62.64083333333334,63.721000000000004,3
3,Baseline,4.0,-1.5653777920000003,-2.7120932060000005,-3.686,-3.686,-6.442,-6.442,-0.9620000000000001,-0.962,-3.686,-3.686,-6.442,-6.442,-0.9620000000000001,-0.962,-2.7686666666666664,-2.441,-66.8685,-67.85249999999999,56.0725,55.96,4
3,Baseline,5.0,-11.200455149999998,-6.6304536505,-3.688,-3.688,-6.095,-6.095,-1.279,-1.279,-3.688,-3.688,-6.095,-6.095,-1.279,-1.279,0.4661666666666662,-1.7185000000000001,-61.486333333333334,-61.897,56.109833333333334,56.763,5
3,Baseline,6.0,-17.971685708833334,-1.069845611,-3.673,-3.673,-5.918,-5.918,-1.612,-1.612,-3.673,-3.673,-5.918,-5.918,-1.612,-1.612,-2.627333333333333,-3.402,-60.140166666666666,-57.953,54.18066666666667,53.8435,6
3,Baseline,7.0,-6.457296030333333,-9.2312844455,-3.6489999999999996,-3.649,-5.5569999999999995,-5.557,-1.656,-1.656,-3.6489999999999996,-3.649,-5.5569999999999995,-5.557,-1.656,-1.656,-2.092166666666667,-3.712,-60.507,-60.069,52.50133333333333,50.778999999999996,7
3,Baseline,8.0,-3.873141394166668,-3.5996421124999998,-3.622,-3.622,-5.361999999999999,-5.362,-1.757,-1.757,-3.622,-3.622,-5.361999999999999,-5.362,-1.757,-1.757,-4.616833333333333,-4.193,-59.12966666666667,-59.064,48.84133333333333,48.076,8
3,Baseline,9.0,-3.416358573,-3.9247412465,-3.593,-3.593,-5.385000000000001,-5.385,-2.02,-2.02,-3.593,-3.593,-5.385000000000001,-5.385,-2.02,-2.02,-4.8065,-4.8975,-52.3665,-52.0095,51.977666666666664,51.813,9
3,Baseline,10.0,-2.271401865333333,-2.2324399390000003,-3.563,-3.563,-5.17,-5.17,-1.985,-1.985,-3.563,-3.563,-5.17,-5.17,-1.985,-1.985,-7.533,-8.315000000000001,-57.7665,-55.709,49.54216666666667,48.694,10
3,Baseline,11.0,-11.875782717,-7.217267392,-3.535,-3.535,-5.09,-5.09,-2.013,-2.013,-3.535,-3.535,-5.09,-5.09,-2.013,-2.013,3.5421666666666667,-0.11950000000000005,-50.57866666666666,-51.4015,48.296,47.4215,11
3,Baseline,12.0,-21.7326002655,-5.573691902,-3.507,-3.507,-5.038,-5.038,-1.985,-1.985,-3.507,-3.507,-5.038,-5.038,-1.985,-1.985,-4.8069999999999995,-3.6295,-53.443000000000005,-53.266000000000005,46.09633333333333,45.560500000000005,12
3,Baseline,13.0,-20.2331177205,-3.2376014169999996,-3.48,-3.48,-5.044,-5.044,-1.982,-1.982,-3.48,-3.48,-5.044,-5.044,-1.982,-1.982,-1.8693333333333333,-1.784,-51.24133333333333,-51.662,48.54233333333334,50.3785,13
3,Baseline,14.0,-50.20314949466667,-22.0747871,-3.455,-3.455,-4.978,-4.978,-1.864,-1.864,-3.455,-3.455,-4.978,-4.978,-1.864,-1.864,-3.406,-5.083,-49.654666666666664,-49.6095,44.896166666666666,46.053,14
