y,fish,stage,day,plotday
-2.765430943,10,Baseline,1.0,1
110.1973336,10,Baseline,1.0,1
-5.197914951,10,Baseline,1.0,1
-4.254510169,10,Baseline,1.0,1
-114.9459236,10,Baseline,1.0,1
-1.347615323,10,Baseline,1.0,1
-26.8563062,10,Baseline,2.0,2
3.142475961,10,Baseline,2.0,2
-93.42504433,10,Baseline,2.0,2
16.13635705,10,Baseline,2.0,2
-3.470512817,10,Baseline,2.0,2
1.211660671,10,Baseline,2.0,2
124.910831,10,Baseline,3.0,3
-29.02175247,10,Baseline,3.0,3
43.49090262,10,Baseline,3.0,3
95.12218564,10,Baseline,3.0,3
124.836722,10,Baseline,3.0,3
-118.0032013,10,Baseline,3.0,3
62.49223592,10,Baseline,4.0,4
-8.65017076,10,Baseline,4.0,4
-8.050073996,10,Baseline,4.0,4
-3.069850409,10,Baseline,4.0,4
-0.007459659,10,Baseline,4.0,4
-84.77951975,10,Baseline,4.0,4
-0.192939744,10,Baseline,5.0,5
91.32136666,10,Baseline,5.0,5
0.04102915,10,Baseline,5.0,5
-13.002251,10,Baseline,5.0,5
-28.18884082,10,Baseline,5.0,5
-6.036233151,10,Baseline,5.0,5
137.0935739,10,Baseline,6.0,6
-6.857183782,10,Baseline,6.0,6
6.221744717,10,Baseline,6.0,6
-6.641051475,10,Baseline,6.0,6
5.945510761,10,Baseline,6.0,6
-108.1769981,10,Baseline,6.0,6
43.27365097,10,Baseline,7.0,7
-126.0585619,10,Baseline,7.0,7
157.6688963,10,Baseline,7.0,7
144.2814123,10,Baseline,7.0,7
-145.7599614,10,Baseline,7.0,7
-12.42049197,10,Baseline,7.0,7
-117.7675042,10,Baseline,8.0,8
175.9949164,10,Baseline,8.0,8
0.057402018,10,Baseline,8.0,8
-5.356080717,10,Baseline,8.0,8
5.224842886,10,Baseline,8.0,8
-16.84525417,10,Baseline,8.0,8
-122.0540658,10,Baseline,9.0,9
-104.9539037,10,Baseline,9.0,9
-5.984031518,10,Baseline,9.0,9
-23.56014097,10,Baseline,9.0,9
-88.63301268,10,Baseline,9.0,9
-80.11403712,10,Baseline,9.0,9
-164.8067652,10,Baseline,10.0,10
-101.624626,10,Baseline,10.0,10
-40.41033843,10,Baseline,10.0,10
-129.5070606,10,Baseline,10.0,10
1.532479781,10,Baseline,10.0,10
-15.5337581,10,Baseline,10.0,10
-0.044243094,10,Baseline,11.0,11
-131.7336306,10,Baseline,11.0,11
-30.15029843,10,Baseline,11.0,11
-101.9511711,10,Baseline,11.0,11
-135.8349951,10,Baseline,11.0,11
-2.770417759,10,Baseline,11.0,11
-6.497410694,10,Baseline,12.0,12
0.005520909,10,Baseline,12.0,12
-64.70757425,10,Baseline,12.0,12
-3.517728541,10,Baseline,12.0,12
2.244511369,10,Baseline,12.0,12
-4.327489645,10,Baseline,12.0,12
14.92829995,10,Baseline,13.0,13
-5.281107835,10,Baseline,13.0,13
2.730639603,10,Baseline,13.0,13
-5.262071163,10,Baseline,13.0,13
-1.021859262,10,Baseline,13.0,13
-3.681699817,10,Baseline,13.0,13
-6.190819326,10,Baseline,14.0,14
0.167716803,10,Baseline,14.0,14
-131.1292116,10,Baseline,14.0,14
-25.95371808,10,Baseline,14.0,14
-72.685754,10,Baseline,14.0,14
30.94428679,10,Baseline,14.0,14
4.835318399,10,Baseline,15.0,15
-125.2145788,10,Baseline,15.0,15
-10.55367811,10,Baseline,15.0,15
-5.876053225,10,Baseline,15.0,15
25.47745162,10,Baseline,15.0,15
-20.33824821,10,Baseline,15.0,15
0.719754163,10,Baseline,16.0,16
-13.15969289,10,Baseline,16.0,16
-2.35596014,10,Baseline,16.0,16
3.063622629,10,Baseline,16.0,16
1.00950193,10,Baseline,16.0,16
-12.67439698,10,Baseline,16.0,16
-1.642072178,10,Baseline,17.0,17
-1.272752211,10,Baseline,17.0,17
13.96136999,10,Baseline,17.0,17
6.969861776,10,Baseline,17.0,17
5.552899552,10,Baseline,17.0,17
-29.76581255,10,Baseline,17.0,17
-0.347699512,10,Baseline,18.0,18
-4.212342334,10,Baseline,18.0,18
-0.672353509,10,Baseline,18.0,18
-2.906055705,10,Baseline,18.0,18
-5.7621748,10,Baseline,18.0,18
-4.149621364,10,Baseline,18.0,18
-0.527066496,10,Baseline,19.0,19
1.830051303,10,Baseline,19.0,19
-2.979472995,10,Baseline,19.0,19
-5.678771578,10,Baseline,19.0,19
6.89304502,10,Baseline,19.0,19
-1.556872327,10,Baseline,19.0,19
-9.958256416,10,Baseline,20.0,20
-19.65249189,10,Baseline,20.0,20
-39.79042795,10,Baseline,20.0,20
-11.85228727,10,Baseline,20.0,20
-9.862911718,10,Baseline,20.0,20
-5.742908657,10,Baseline,20.0,20
-3.101895763,10,Baseline,21.0,21
-6.656819066,10,Baseline,21.0,21
-61.99721645,10,Baseline,21.0,21
-3.350150941,10,Baseline,21.0,21
0.907170776,10,Baseline,21.0,21
-1.907647316,10,Baseline,21.0,21
-0.479507916,10,Baseline,22.0,22
-14.54253567,10,Baseline,22.0,22
-0.033002378,10,Baseline,22.0,22
0.919756214,10,Baseline,22.0,22
-4.631951668,10,Baseline,22.0,22
-5.867111527,10,Baseline,22.0,22
