,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"μ_μ_inf[3, Baseline]",2.778,0.539,1.691,3.686,0.008,0.005,5096.0,2710.0,1.0
"μ_μ_inf[3, Rotation]",4.555,0.467,3.655,5.392,0.008,0.005,4379.0,2169.0,1.0
"μ_μ_inf[3, Washout]",3.665,0.945,1.936,5.393,0.012,0.008,6151.0,2988.0,1.0
"μ_μ_inf[3, ReRotation]",4.363,1.157,2.043,6.411,0.014,0.01,6150.0,2282.0,1.0
"μ_μ_inf[3, ReWashout]",5.596,2.215,1.865,9.693,0.032,0.024,4656.0,3033.0,1.0
"μ_μ_inf[7, Baseline]",2.881,0.502,1.865,3.738,0.008,0.006,4047.0,2688.0,1.0
"μ_μ_inf[7, Rotation]",2.832,0.701,1.575,4.178,0.01,0.007,5275.0,2917.0,1.0
"μ_μ_inf[7, Washout]",3.444,0.914,1.732,5.177,0.012,0.008,6026.0,2707.0,1.0
"μ_μ_inf[7, ReRotation]",3.712,0.953,1.997,5.595,0.013,0.009,5403.0,3078.0,1.0
"μ_μ_inf[7, ReWashout]",5.607,2.222,1.885,9.66,0.034,0.025,3966.0,2897.0,1.0
"μ_μ_inf[9, Baseline]",2.737,0.445,1.945,3.595,0.007,0.005,4100.0,2237.0,1.0
"μ_μ_inf[9, Rotation]",4.023,1.015,2.105,5.956,0.012,0.009,6775.0,2740.0,1.0
"μ_μ_inf[9, Washout]",3.198,0.84,1.655,4.778,0.011,0.008,6017.0,3129.0,1.0
"μ_μ_inf[9, ReRotation]",2.432,0.399,1.671,3.165,0.006,0.004,4450.0,2673.0,1.0
"μ_μ_inf[9, ReWashout]",2.412,0.563,1.339,3.517,0.009,0.006,3960.0,2564.0,1.0
"μ_μ_inf[10, Baseline]",3.25,0.67,2.021,4.514,0.009,0.006,5833.0,2746.0,1.0
"μ_μ_inf[10, Rotation]",3.155,0.682,1.824,4.388,0.009,0.007,5518.0,3240.0,1.0
"μ_μ_inf[10, Washout]",2.864,0.548,1.713,3.862,0.008,0.006,4925.0,2738.0,1.0
"μ_μ_inf[10, ReRotation]",2.703,0.555,1.705,3.745,0.008,0.006,4968.0,2726.0,1.0
"μ_μ_inf[10, ReWashout]",2.633,0.396,1.803,3.316,0.007,0.005,3496.0,2172.0,1.0
"μ_μ_inf[12, Baseline]",4.382,0.611,3.234,5.52,0.009,0.007,4436.0,2920.0,1.0
"μ_μ_inf[12, Rotation]",5.92,1.184,3.619,8.083,0.017,0.012,4772.0,2450.0,1.0
"μ_μ_inf[12, Washout]",4.13,1.128,2.149,6.3,0.014,0.01,6370.0,2163.0,1.0
"μ_μ_inf[12, ReRotation]",3.814,0.947,2.088,5.574,0.012,0.009,5860.0,3034.0,1.0
"μ_μ_inf[12, ReWashout]",3.502,0.385,2.762,4.209,0.007,0.005,4189.0,2375.0,1.0
"μ_μ_inf[14, Baseline]",3.029,0.512,2.061,4.003,0.007,0.005,5441.0,2481.0,1.0
"μ_μ_inf[14, Rotation]",3.356,0.779,1.894,4.876,0.01,0.007,5411.0,2446.0,1.0
"μ_μ_inf[14, Washout]",2.605,0.269,2.079,3.077,0.004,0.003,4400.0,2129.0,1.0
"μ_μ_inf[14, ReRotation]",2.955,0.643,1.522,4.054,0.011,0.007,3803.0,2344.0,1.0
"μ_μ_inf[14, ReWashout]",5.6,2.202,2.142,9.806,0.029,0.021,5156.0,2756.0,1.0
"μ_μ_inf[21, Baseline]",3.625,0.443,2.682,4.392,0.008,0.006,3814.0,2114.0,1.0
"μ_μ_inf[21, Rotation]",2.978,0.293,2.422,3.459,0.008,0.006,2074.0,906.0,1.0
"μ_μ_inf[21, Washout]",2.791,0.287,2.233,3.295,0.005,0.003,4153.0,2321.0,1.0
"μ_μ_inf[21, ReRotation]",4.245,1.502,1.597,7.035,0.017,0.013,6719.0,2561.0,1.0
"μ_μ_inf[21, ReWashout]",5.608,2.26,1.793,9.689,0.031,0.023,4871.0,2613.0,1.0
