,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"μ_μ_inf[3, Baseline]",2.769,0.534,1.781,3.808,0.008,0.006,4720.0,2596.0,1.0
"μ_μ_inf[3, Rotation]",4.539,0.503,3.631,5.471,0.011,0.008,2845.0,1469.0,1.0
"μ_μ_inf[3, Washout]",3.646,0.943,1.823,5.336,0.012,0.009,5654.0,2893.0,1.0
"μ_μ_inf[3, ReRotation]",4.373,1.159,2.121,6.521,0.014,0.01,7011.0,2855.0,1.0
"μ_μ_inf[3, ReWashout]",5.539,2.221,1.706,9.594,0.029,0.022,5241.0,2680.0,1.0
"μ_μ_inf[7, Baseline]",2.864,0.5,1.899,3.753,0.008,0.005,4542.0,2668.0,1.0
"μ_μ_inf[7, Rotation]",2.841,0.679,1.569,4.086,0.009,0.006,6062.0,2937.0,1.0
"μ_μ_inf[7, Washout]",3.443,0.917,1.672,5.066,0.011,0.008,6329.0,2681.0,1.0
"μ_μ_inf[7, ReRotation]",3.711,0.949,1.801,5.413,0.012,0.009,5806.0,2942.0,1.0
"μ_μ_inf[7, ReWashout]",5.594,2.218,1.737,9.659,0.03,0.022,4767.0,2913.0,1.0
"μ_μ_inf[9, Baseline]",2.74,0.428,1.892,3.5,0.006,0.004,5349.0,2813.0,1.0
"μ_μ_inf[9, Rotation]",4.039,1.033,2.059,5.881,0.012,0.009,7040.0,2704.0,1.0
"μ_μ_inf[9, Washout]",3.182,0.831,1.672,4.804,0.011,0.008,5029.0,2685.0,1.0
"μ_μ_inf[9, ReRotation]",2.421,0.408,1.612,3.127,0.006,0.004,4540.0,2534.0,1.0
"μ_μ_inf[9, ReWashout]",2.4,0.553,1.345,3.405,0.008,0.005,5131.0,2942.0,1.0
"μ_μ_inf[10, Baseline]",3.259,0.626,2.093,4.408,0.008,0.006,5607.0,3014.0,1.0
"μ_μ_inf[10, Rotation]",3.14,0.709,1.863,4.513,0.01,0.007,5266.0,2457.0,1.0
"μ_μ_inf[10, Washout]",2.867,0.538,1.822,4.007,0.008,0.006,4429.0,2524.0,1.0
"μ_μ_inf[10, ReRotation]",2.682,0.568,1.579,3.691,0.009,0.006,4328.0,2549.0,1.0
"μ_μ_inf[10, ReWashout]",2.64,0.409,1.802,3.363,0.007,0.005,4161.0,2207.0,1.0
"μ_μ_inf[12, Baseline]",4.386,0.609,3.232,5.445,0.009,0.007,4324.0,3169.0,1.0
"μ_μ_inf[12, Rotation]",5.948,1.173,3.657,8.116,0.016,0.011,5378.0,2871.0,1.0
"μ_μ_inf[12, Washout]",4.127,1.113,2.028,6.177,0.013,0.009,6719.0,2536.0,1.0
"μ_μ_inf[12, ReRotation]",3.833,0.911,2.034,5.455,0.012,0.009,5714.0,2550.0,1.0
"μ_μ_inf[12, ReWashout]",3.492,0.364,2.805,4.146,0.006,0.004,3949.0,2584.0,1.0
"μ_μ_inf[14, Baseline]",3.019,0.519,2.077,4.015,0.007,0.005,5345.0,2636.0,1.0
"μ_μ_inf[14, Rotation]",3.357,0.776,1.899,4.909,0.01,0.007,6188.0,3144.0,1.0
"μ_μ_inf[14, Washout]",2.612,0.269,2.124,3.108,0.004,0.003,5110.0,2531.0,1.0
"μ_μ_inf[14, ReRotation]",2.954,0.637,1.64,4.154,0.01,0.007,4423.0,2307.0,1.0
"μ_μ_inf[14, ReWashout]",5.592,2.161,1.921,9.567,0.028,0.021,5159.0,2607.0,1.0
"μ_μ_inf[21, Baseline]",3.642,0.433,2.792,4.456,0.007,0.005,5019.0,2327.0,1.0
"μ_μ_inf[21, Rotation]",2.97,0.307,2.445,3.496,0.009,0.007,2022.0,885.0,1.0
"μ_μ_inf[21, Washout]",2.791,0.289,2.245,3.325,0.005,0.003,3968.0,2432.0,1.0
"μ_μ_inf[21, ReRotation]",4.208,1.454,1.574,6.897,0.016,0.012,7090.0,2731.0,1.0
"μ_μ_inf[21, ReWashout]",5.6,2.231,1.834,9.62,0.032,0.022,4182.0,2717.0,1.0
