,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"x[3, Baseline]",-0.27,0.099,-0.451,-0.091,0.001,0.001,7347.0,3141.0,1.0
"x[3, Rotation]",-3.642,4.0,-8.722,0.156,0.056,0.045,3605.0,1587.0,1.0
"x[3, Washout]",-0.379,1.288,-1.248,0.31,0.024,0.017,3592.0,2282.0,1.0
"x[3, ReRotation]",0.014,0.484,-0.332,0.321,0.011,0.008,4666.0,2609.0,1.0
"x[3, ReWashout]",-0.326,0.572,-1.249,0.325,0.009,0.006,3929.0,2985.0,1.0
"x[7, Baseline]",-0.305,0.267,-0.808,0.181,0.004,0.003,3840.0,2009.0,1.0
"x[7, Rotation]",-0.382,0.224,-0.778,0.002,0.003,0.003,5835.0,3152.0,1.0
"x[7, Washout]",0.074,0.249,-0.178,0.341,0.005,0.003,3331.0,1891.0,1.0
"x[7, ReRotation]",-0.619,1.317,-2.489,0.565,0.023,0.016,3788.0,3083.0,1.0
"x[7, ReWashout]",-0.315,0.621,-1.151,0.315,0.01,0.007,3340.0,2693.0,1.0
"x[9, Baseline]",-0.203,0.14,-0.47,0.05,0.002,0.001,5754.0,2564.0,1.0
"x[9, Rotation]",-0.234,0.218,-0.615,0.081,0.003,0.003,5548.0,3145.0,1.0
"x[9, Washout]",-0.031,0.32,-0.582,0.447,0.008,0.005,2478.0,1635.0,1.0
"x[9, ReRotation]",-0.323,0.405,-0.996,0.223,0.008,0.005,3805.0,2285.0,1.0
"x[9, ReWashout]",-0.006,0.55,-0.163,0.095,0.017,0.012,3446.0,1621.0,1.0
"x[10, Baseline]",-0.125,0.153,-0.419,0.166,0.002,0.002,5179.0,2518.0,1.0
"x[10, Rotation]",-0.445,0.289,-1.0,-0.007,0.004,0.003,5647.0,3046.0,1.0
"x[10, Washout]",-0.463,1.631,-3.033,0.935,0.028,0.02,3167.0,2791.0,1.0
"x[10, ReRotation]",-0.244,0.138,-0.497,-0.023,0.002,0.002,5735.0,2616.0,1.0
"x[10, ReWashout]",-0.049,0.15,-0.312,0.243,0.002,0.002,4540.0,2377.0,1.0
"x[12, Baseline]",-0.221,0.155,-0.444,0.026,0.003,0.003,5666.0,2420.0,1.0
"x[12, Rotation]",0.058,0.249,-0.232,0.469,0.005,0.003,3843.0,2276.0,1.0
"x[12, Washout]",-0.276,0.649,-0.878,0.241,0.011,0.008,4677.0,3061.0,1.0
"x[12, ReRotation]",-0.621,0.909,-1.806,0.079,0.016,0.012,3756.0,3306.0,1.0
"x[12, ReWashout]",-0.827,0.541,-1.878,0.085,0.007,0.006,5593.0,2895.0,1.0
"x[14, Baseline]",-0.474,0.309,-1.072,0.095,0.005,0.003,4475.0,1916.0,1.0
"x[14, Rotation]",-0.024,0.52,-0.404,0.45,0.009,0.007,3423.0,2183.0,1.0
"x[14, Washout]",-0.188,0.412,-1.004,0.59,0.007,0.006,4466.0,2329.0,1.0
"x[14, ReRotation]",-0.628,1.537,-3.233,0.28,0.027,0.019,2194.0,2397.0,1.0
"x[14, ReWashout]",-0.315,0.564,-1.173,0.323,0.01,0.008,3669.0,2743.0,1.0
"x[21, Baseline]",-0.041,0.422,-0.61,0.566,0.009,0.006,2728.0,1813.0,1.0
"x[21, Rotation]",-1.99,2.088,-5.455,0.181,0.035,0.025,1995.0,1491.0,1.0
"x[21, Washout]",-0.81,2.491,-3.903,1.189,0.039,0.028,3272.0,1497.0,1.0
"x[21, ReRotation]",-0.082,0.337,-0.586,0.431,0.005,0.004,3929.0,3112.0,1.0
"x[21, ReWashout]",-0.316,0.961,-1.117,0.294,0.019,0.014,3735.0,2371.0,1.0
