fish,stage,day,mean_y,median_y,std_y,mean_μ_μ_y,median_μ_μ_y,mean_μ_μ_hdi_3,median_μ_μ_hdi_3,mean_μ_μ_hdi_97,median_μ_μ_hdi_97,mean_σ_μ_y,median_σ_μ_y,mean_σ_μ_hdi_3,median_σ_μ_hdi_3,mean_σ_μ_hdi_97,median_σ_μ_hdi_97,mean_ppc_y,median_ppc_y,mean_ppc_hdi_3,median_ppc_hdi_3,mean_ppc_hdi_97,median_ppc_hdi_97,plotday,μ_hdi_3_gamma_medians,μ_hdi_97_gamma_medians,μ_hdi_3_gamma_means,μ_hdi_97_gamma_means,y_gamma_means,y_gamma_medians
3,Baseline,1.0,5.9841892875000005,6.185947372999999,2.6668180552814174,6.778,6.778,5.081,5.081,8.323,8.323,6.760000000000001,6.76,4.995,4.995,8.786,8.786,10.985833333333332,10.98,0.7665000000000001,0.7725,23.491333333333333,23.3955,1,7.1492075329273135,12.080280156611941,7.1492075329273135,12.080280156611941,6.664568257249414,6.849418612140386
3,Baseline,2.0,8.610452063999999,8.8640638685,3.6749127080992716,6.514,6.514,5.019,5.019,7.942,7.942,6.393,6.393,4.725,4.725,8.063,8.063,10.465333333333334,10.496500000000001,0.823,0.836,22.399333333333335,22.490000000000002,2,6.935690074727458,11.33037218585941,6.935690074727458,11.33037218585941,9.51771357722098,9.751224776084396
3,Baseline,3.0,8.901376885666666,9.624113694,3.5300255131429417,6.269000000000001,6.269,4.919,4.919,7.549,7.549,6.050999999999999,6.051,4.584,4.584,7.521,7.521,9.982999999999999,9.962,0.8195,0.824,21.224166666666665,21.276,3,6.769373381014711,10.682455368219202,6.769373381014711,10.682455368219202,9.724428063982785,10.39728450557041
3,Baseline,4.0,5.969738728666667,5.5879778485,2.8127604498341747,6.04,6.04,4.813,4.813,7.183,7.183,5.733999999999999,5.734,4.481,4.481,7.059,7.059,9.4965,9.456,0.9383333333333334,1.044,19.9465,19.938000000000002,4,6.620970316904628,10.105350891110696,6.620970316904628,10.105350891110696,6.717735287564163,6.3726412008035735
3,Baseline,5.0,9.0834859145,5.438409973000001,7.39188775631881,5.827000000000001,5.827,4.723,4.723,6.861999999999999,6.862,5.438,5.438,4.302,4.302,6.566,6.566,9.1265,9.143,0.8981666666666666,0.8694999999999999,19.286333333333335,19.210500000000003,5,6.440244655064883,9.546312291636184,6.440244655064883,9.546312291636179,11.867931032118713,8.934791643287895
3,Baseline,6.0,10.805762727166666,7.320459021,9.761186704901203,5.6290000000000004,5.629,4.583,4.583,6.525000000000001,6.525,5.163,5.163,4.213,4.213,6.192,6.192,8.6675,8.6675,0.8228333333333334,0.8195,17.942333333333334,17.826,6,6.272334287068272,9.046420034576947,6.272334287068272,9.046420034576947,14.686188178960922,11.905673953431778
3,Baseline,7.0,9.117955421166666,9.749954953,2.3612988270985147,5.444,5.444,4.473,4.473,6.248,6.248,4.907,4.907,4.08,4.08,5.817,5.817,8.371166666666666,8.3675,0.878,0.886,17.522666666666666,17.448,7,6.102754852021584,8.595009843996598,6.102754852021584,8.595009843996598,9.502125922991452,10.111708206090512
3,Baseline,8.0,11.971974912666667,12.47276656,3.8280934296094373,5.271,5.271,4.423,4.423,6.041,6.041,4.669,4.669,3.949,3.949,5.488,5.488,8.048333333333334,8.062000000000001,0.794,0.798,16.564666666666668,16.645,8,5.983743561686357,8.228807251775258,5.983743561686357,8.228807251775258,12.720182911706845,13.19530871614873
3,Baseline,9.0,6.0888687615,5.783011904,2.0220382342766605,5.11,5.11,4.331,4.331,5.8180000000000005,5.818,4.447,4.447,3.794,3.794,5.15,5.15,7.712,7.725,0.8723333333333333,0.846,15.860333333333335,15.8515,9,5.816164965117649,7.844627576533089,5.816164965117649,7.844627576533093,6.496882915630843,6.208886215940773
3,Baseline,10.0,7.4641279628333335,7.042448843,1.4922644524476363,4.96,4.96,4.267,4.267,5.637,5.637,4.24,4.24,3.6429999999999993,3.643,4.877,4.877,7.396999999999999,7.375,0.8249999999999998,0.8865000000000001,15.189833333333333,15.186,10,5.674370988221472,7.534023346331192,5.6743709882214715,7.534023346331192,7.655863516611666,7.2448027576811524
