y,fish,stage,day,plotday
2.728386052,10,Baseline,1.0,1
13.25409819,10,Baseline,1.0,1
3.482811739,10,Baseline,1.0,1
6.452188068,10,Baseline,1.0,1
13.02436958,10,Baseline,1.0,1
2.457542688,10,Baseline,1.0,1
7.63503505,10,Baseline,2.0,2
2.641807188,10,Baseline,2.0,2
6.070057788,10,Baseline,2.0,2
4.965515034,10,Baseline,2.0,2
2.340794102,10,Baseline,2.0,2
5.706236601,10,Baseline,2.0,2
27.63802429,10,Baseline,3.0,3
24.68050851,10,Baseline,3.0,3
25.41238074,10,Baseline,3.0,3
24.31971358,10,Baseline,3.0,3
29.87609351,10,Baseline,3.0,3
34.27670656,10,Baseline,3.0,3
12.70872868,10,Baseline,4.0,4
6.89847231,10,Baseline,4.0,4
8.091208502,10,Baseline,4.0,4
2.206436383,10,Baseline,4.0,4
7.448182638,10,Baseline,4.0,4
15.83368837,10,Baseline,4.0,4
2.485673926,10,Baseline,5.0,5
16.19301418,10,Baseline,5.0,5
3.418928358,10,Baseline,5.0,5
2.383000769,10,Baseline,5.0,5
13.50699028,10,Baseline,5.0,5
2.738792743,10,Baseline,5.0,5
17.45473691,10,Baseline,6.0,6
2.515573941,10,Baseline,6.0,6
2.771431795,10,Baseline,6.0,6
2.671948747,10,Baseline,6.0,6
3.562449349,10,Baseline,6.0,6
17.2461198,10,Baseline,6.0,6
16.46001402,10,Baseline,7.0,7
31.69611096,10,Baseline,7.0,7
25.62173401,10,Baseline,7.0,7
27.49434016,10,Baseline,7.0,7
25.44077329,10,Baseline,7.0,7
14.73256929,10,Baseline,7.0,7
25.30382409,10,Baseline,8.0,8
20.93182616,10,Baseline,8.0,8
9.273568895,10,Baseline,8.0,8
2.245585918,10,Baseline,8.0,8
6.898578428,10,Baseline,8.0,8
11.2318288,10,Baseline,8.0,8
17.72290748,10,Baseline,9.0,9
19.44380027,10,Baseline,9.0,9
3.070967909,10,Baseline,9.0,9
10.53026074,10,Baseline,9.0,9
22.85939264,10,Baseline,9.0,9
17.79642588,10,Baseline,9.0,9
22.06589085,10,Baseline,10.0,10
20.819517,10,Baseline,10.0,10
15.45542814,10,Baseline,10.0,10
21.33017117,10,Baseline,10.0,10
5.704412082,10,Baseline,10.0,10
6.774779627,10,Baseline,10.0,10
2.840026109,10,Baseline,11.0,11
15.37140294,10,Baseline,11.0,11
9.186795213,10,Baseline,11.0,11
14.65193567,10,Baseline,11.0,11
10.80155169,10,Baseline,11.0,11
2.412762598,10,Baseline,11.0,11
2.294196541,10,Baseline,12.0,12
2.305637085,10,Baseline,12.0,12
15.88268556,10,Baseline,12.0,12
10.55130741,10,Baseline,12.0,12
2.974612635,10,Baseline,12.0,12
2.410615715,10,Baseline,12.0,12
5.662939285,10,Baseline,13.0,13
2.313575223,10,Baseline,13.0,13
2.263246807,10,Baseline,13.0,13
2.552031926,10,Baseline,13.0,13
6.308459593,10,Baseline,13.0,13
