fish,stage,day,plotday,trial,EST,distance,yds,circular_mean_degrees
fish10,Baseline,1,1,6,3,4.967499903,-3.509970556,-3.63303218
fish10,Baseline,2,2,6,3,4.343362806,-1.129426073,-13.57655979
fish10,Baseline,3,3,6,0,12.70204559,69.30654413,92.99590423
fish10,Baseline,4,4,6,4,7.391816962,-5.559962203,-5.710686856
fish10,Baseline,5,5,6,3,3.078860551,-3.114586448,2.308042999
fish10,Baseline,6,6,6,4,3.166940572,-0.347770357,-5.69770229
fish10,Baseline,7,7,6,0,10.36975564,15.4265795,177.5045374
fish10,Baseline,8,8,6,2,7.430790694,-2.649339349,-23.99263997
fish10,Baseline,9,9,6,1,7.895803692,-84.3735249,-72.96876492
fish10,Baseline,10,10,6,1,9.537482787,-71.01748223,-72.3800608
fish10,Baseline,11,11,6,2,6.064283282,-66.05073476,-66.81028106
fish10,Baseline,12,12,6,5,2.692614175,-3.922609093,-11.63296455
fish10,Baseline,13,13,6,5,2.432803575,-2.35177954,0.379593172
fish10,Baseline,14,14,6,2,8.921392295,-16.0722687,-27.11461865
fish10,Baseline,16,16,6,4,2.72657784,-0.818102988,-5.151522683
fish10,Baseline,17,17,6,4,3.538124122,2.14007367,1.825455732
fish10,Baseline,18,18,6,5,4.994085018,-3.55919902,-7.187048658
fish10,Baseline,19,19,6,6,3.552689284,-1.753269745,-0.771177269
fish10,Baseline,20,20,6,1,8.977102283,-10.90527184,-15.34762775
fish10,Baseline,21,21,6,5,3.963655789,-4.546529799,-12.36381872
fish10,Baseline,22,22,6,5,3.144565657,-1.193577616,-3.435508517
fish10,Baseline,23,23,6,3,5.330940162,-3.901121196,5.971513578
fish10,Baseline,24,24,6,5,2.854886836,-1.4473543,-2.741065186
fish10,Baseline,25,25,6,4,3.179416737,0.498654007,1.175667011
fish10,Rotation,1,26,6,1,6.216077725,7.362668083,5.836637345
fish10,Rotation,2,27,6,1,6.339484176,17.65961217,8.327481017
fish10,Rotation,3,28,6,2,10.96949878,10.64958405,18.92640403
fish10,Rotation,4,29,6,2,6.85724239,-12.18591683,-39.74240099
fish10,Rotation,5,30,6,4,5.039968466,5.471224291,6.632531608
fish10,Rotation,6,31,6,2,7.555299795,9.272006707,11.97495809
fish10,Rotation,7,32,6,3,7.067578089,-1.828767115,-7.082795771
fish10,Rotation,8,33,6,4,5.038420038,3.586433926,6.049517936
fish10,Rotation,9,34,6,2,6.080189927,-8.942609241,-34.40907359
fish10,Rotation,10,35,6,2,4.411554554,-6.667417847,-1.56292358
fish10,Rotation,11,36,6,5,4.170780144,2.923320228,7.665855695
fish10,Rotation,12,37,6,2,4.109487645,5.957339531,2.138704273
fish10,Rotation,13,38,6,3,2.948438809,-4.205967826,-0.139181421
fish10,Rotation,14,39,6,5,5.003157965,-4.640015169,-6.717052056
fish10,Rotation,15,40,6,5,2.802191198,5.466593928,5.732907242
fish10,Washout,1,41,6,2,3.779992725,-5.379112848,18.86699395
fish10,Washout,2,42,6,3,2.812128436,-7.309192124,-10.5260822
fish10,Washout,3,43,6,5,2.638695942,-2.908431021,-5.81515589
fish10,Washout,4,44,6,4,2.499869283,-2.009664979,-7.035371635
fish10,Washout,5,45,6,4,3.161861761,-2.924139342,-3.439280855
fish10,Washout,6,46,6,6,2.356190779,-3.508809722,-2.746510165
fish10,Washout,7,47,6,4,2.477296673,-3.692463876,-5.737536754
fish10,Washout,8,48,6,3,3.929114841,2.092124343,5.684594709
fish10,Washout,9,49,6,5,3.289478456,-0.244003438,-2.537088968
fish10,Washout,10,50,6,5,2.407906969,-1.780474032,-0.084883731
fish10,ReRotation,1,51,6,1,4.378637212,18.94062779,19.99512184
fish10,ReRotation,2,52,6,0,5.367882592,25.17677991,28.42286181
fish10,ReRotation,3,53,6,2,4.161134882,15.90953112,17.55543075
fish10,ReRotation,4,54,6,2,6.059096918,21.04686267,16.57775847
fish10,ReRotation,5,55,6,3,4.17009688,11.64336321,12.73754075
fish10,ReRotation,6,56,6,2,4.148310068,10.76753863,14.88381879
fish10,ReRotation,7,57,6,3,5.193901273,-7.925201543,-11.89565282
fish10,ReRotation,8,58,6,2,3.927987052,9.505004144,9.358954864
