fish,stage,day,mean_y,median_y,mean_μ_μ_y,median_μ_μ_y,mean_μ_μ_hdi_3,median_μ_μ_hdi_3,mean_μ_μ_hdi_97,median_μ_μ_hdi_97,mean_μ_y,median_μ_y,mean_μ_hdi_3,median_μ_hdi_3,mean_μ_hdi_97,median_μ_hdi_97,mean_ppc_y,median_ppc_y,mean_ppc_hdi_3,median_ppc_hdi_3,mean_ppc_hdi_97,median_ppc_hdi_97,plotday
3,Baseline,1.0,-9.783006278,1.7636186450000002,-2.868,-2.868,-9.121,-9.121,5.132,5.132,-2.868,-2.868,-9.121,-9.121,5.132,5.132,-1.1549999999999996,1.7465,-82.98216666666667,-82.3985,81.41066666666667,80.62950000000001,1
3,Baseline,2.0,-2.5751324871666665,-2.1089620215,-3.517,-3.517,-7.476,-7.476,0.47,0.47,-3.517,-3.517,-7.476,-7.476,0.47,0.47,-2.6694999999999998,-6.0545,-74.44716666666666,-76.66499999999999,68.51666666666667,69.661,2
3,Baseline,3.0,-5.532279371333334,-6.4656282869999995,-3.666,-3.666,-7.056,-7.056,-0.644,-0.644,-3.666,-3.666,-7.056,-7.056,-0.644,-0.644,-4.258666666666667,-5.332,-67.29450000000001,-67.602,62.52983333333333,61.1315,3
3,Baseline,4.0,-1.5653777920000003,-2.7120932060000005,-3.701,-3.701,-6.472,-6.472,-0.965,-0.965,-3.701,-3.701,-6.472,-6.472,-0.965,-0.965,-3.2515,-3.7479999999999998,-63.17366666666667,-64.85849999999999,57.967999999999996,57.5725,4
3,Baseline,5.0,-11.200455149999998,-6.6304536505,-3.696,-3.696,-6.114,-6.114,-1.219,-1.219,-3.696,-3.696,-6.114,-6.114,-1.219,-1.219,-3.565,-4.1285,-59.74133333333333,-61.277,58.7515,58.710499999999996,5
3,Baseline,6.0,-17.971685708833334,-1.069845611,-3.6749999999999994,-3.675,-5.779,-5.779,-1.397,-1.397,-3.6749999999999994,-3.675,-5.779,-5.779,-1.397,-1.397,-3.9411666666666663,-3.9400000000000004,-59.36116666666666,-58.8715,57.03783333333333,56.152,6
3,Baseline,7.0,-6.457296030333333,-9.2312844455,-3.647,-3.647,-5.686,-5.686,-1.716,-1.716,-3.647,-3.647,-5.686,-5.686,-1.716,-1.716,-2.5835000000000004,-3.7365,-60.92133333333334,-62.161,51.7415,50.085,7
3,Baseline,8.0,-3.873141394166668,-3.5996421124999998,-3.616,-3.616,-5.480999999999999,-5.481,-1.7990000000000002,-1.799,-3.616,-3.616,-5.480999999999999,-5.481,-1.7990000000000002,-1.799,-3.5548333333333333,-3.5925000000000002,-56.901666666666664,-54.941500000000005,53.35883333333334,50.822,8
3,Baseline,9.0,-3.416358573,-3.9247412465,-3.584,-3.584,-5.278,-5.278,-1.8549999999999998,-1.855,-3.584,-3.584,-5.278,-5.278,-1.8549999999999998,-1.855,-5.020166666666667,-5.5665,-55.209,-55.041,48.57666666666666,48.696,9
3,Baseline,10.0,-2.271401865333333,-2.2324399390000003,-3.552,-3.552,-5.098,-5.098,-1.853,-1.853,-3.552,-3.552,-5.098,-5.098,-1.853,-1.853,-7.135000000000001,-3.9355,-55.72566666666666,-55.9785,51.51333333333333,51.485,10
3,Baseline,11.0,-11.875782717,-7.217267392,-3.5209999999999995,-3.521,-5.082,-5.082,-1.915,-1.915,-3.5209999999999995,-3.521,-5.082,-5.082,-1.915,-1.915,-7.025833333333334,-5.518,-54.478166666666674,-53.894999999999996,46.350833333333334,45.1405,11
3,Baseline,12.0,-21.7326002655,-5.573691902,-3.491,-3.491,-5.001,-5.001,-1.885,-1.885,-3.491,-3.491,-5.001,-5.001,-1.885,-1.885,-11.265833333333333,-2.233,-53.72683333333333,-53.2705,46.68183333333334,43.835499999999996,12
3,Baseline,13.0,-20.2331177205,-3.2376014169999996,-3.4629999999999996,-3.463,-4.986,-4.986,-1.882,-1.882,-3.4629999999999996,-3.463,-4.986,-4.986,-1.882,-1.882,-1.008,-0.09949999999999998,-54.166,-53.706,46.21616666666667,45.3955,13
3,Baseline,14.0,-50.20314949466667,-22.0747871,-3.435,-3.435,-4.979,-4.979,-1.8739999999999999,-1.874,-3.435,-3.435,-4.979,-4.979,-1.8739999999999999,-1.874,-2.4036666666666666,-3.5825,-52.1815,-50.667500000000004,45.459,44.1055,14
