,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"μ_μ_inf[10, Baseline]",3.574,0.477,2.69,4.43,0.007,0.005,4228.0,2674.0,1.0
"μ_μ_inf[10, Rotation]",3.827,0.61,2.76,5.038,0.009,0.007,4590.0,2939.0,1.0
"μ_μ_inf[10, Washout]",4.549,0.711,3.204,5.805,0.011,0.008,4370.0,3133.0,1.0
"μ_μ_inf[10, ReRotation]",3.685,0.615,2.607,4.849,0.01,0.007,3741.0,2840.0,1.0
"μ_μ_inf[10, ReWashout]",3.717,0.684,2.49,5.019,0.01,0.008,4646.0,2778.0,1.0
"μ_μ_inf[12, Baseline]",3.255,0.347,2.588,3.906,0.004,0.003,5930.0,2739.0,1.0
"μ_μ_inf[12, Rotation]",3.313,0.537,2.421,4.4,0.008,0.006,4861.0,2447.0,1.0
"μ_μ_inf[12, Washout]",3.702,0.689,2.428,5.004,0.01,0.007,4804.0,3017.0,1.0
"μ_μ_inf[12, ReRotation]",3.966,0.598,2.927,5.12,0.008,0.006,5086.0,2787.0,1.0
"μ_μ_inf[12, ReWashout]",5.06,0.731,3.786,6.476,0.011,0.008,4754.0,2942.0,1.0
"μ_μ_inf[14, Baseline]",3.235,0.554,2.205,4.255,0.009,0.007,3782.0,3222.0,1.0
"μ_μ_inf[14, Rotation]",3.578,0.563,2.556,4.624,0.008,0.006,5197.0,3058.0,1.0
"μ_μ_inf[14, Washout]",4.488,0.715,3.209,5.833,0.011,0.008,4260.0,2672.0,1.0
"μ_μ_inf[14, ReRotation]",4.46,0.64,3.315,5.696,0.01,0.007,4138.0,2791.0,1.0
"μ_μ_inf[14, ReWashout]",4.72,1.207,2.626,6.995,0.014,0.011,7597.0,1817.0,1.0
"μ_μ_inf[21, Baseline]",3.307,0.372,2.615,3.976,0.005,0.004,5367.0,2968.0,1.0
"μ_μ_inf[21, Rotation]",4.719,0.61,3.6,5.87,0.009,0.006,4854.0,2852.0,1.0
"μ_μ_inf[21, Washout]",5.054,0.739,3.649,6.406,0.01,0.007,5153.0,2398.0,1.0
"μ_μ_inf[21, ReRotation]",4.604,1.057,2.591,6.48,0.014,0.01,5274.0,3039.0,1.0
"μ_μ_inf[21, ReWashout]",4.714,1.165,2.568,6.818,0.013,0.009,8092.0,2712.0,1.0
"μ_μ_inf[3, Baseline]",3.941,0.442,3.119,4.762,0.006,0.004,5114.0,3029.0,1.0
"μ_μ_inf[3, Rotation]",3.941,0.554,2.89,4.947,0.008,0.006,4625.0,2419.0,1.0
"μ_μ_inf[3, Washout]",4.44,0.692,3.184,5.761,0.009,0.007,5944.0,3153.0,1.0
"μ_μ_inf[3, ReRotation]",3.562,0.735,2.302,5.011,0.012,0.009,3625.0,3014.0,1.0
"μ_μ_inf[3, ReWashout]",4.739,1.17,2.614,6.861,0.013,0.01,7552.0,2580.0,1.0
"μ_μ_inf[7, Baseline]",3.537,0.492,2.617,4.456,0.007,0.005,5390.0,2532.0,1.0
"μ_μ_inf[7, Rotation]",3.738,0.603,2.596,4.81,0.009,0.007,4545.0,3071.0,1.0
"μ_μ_inf[7, Washout]",4.492,0.718,3.229,5.897,0.011,0.008,4618.0,3041.0,1.0
"μ_μ_inf[7, ReRotation]",4.791,0.896,3.107,6.451,0.013,0.009,4858.0,2877.0,1.0
"μ_μ_inf[7, ReWashout]",4.724,1.162,2.784,7.013,0.015,0.011,6734.0,2597.0,1.0
"μ_μ_inf[9, Baseline]",3.384,0.366,2.709,4.059,0.004,0.003,6674.0,3210.0,1.0
"μ_μ_inf[9, Rotation]",2.973,0.547,2.018,3.993,0.008,0.006,4571.0,3008.0,1.0
"μ_μ_inf[9, Washout]",4.049,0.682,2.82,5.336,0.01,0.007,4584.0,2950.0,1.0
"μ_μ_inf[9, ReRotation]",4.359,0.593,3.294,5.473,0.008,0.006,5191.0,2957.0,1.0
"μ_μ_inf[9, ReWashout]",4.56,0.741,3.171,5.931,0.011,0.008,4394.0,2667.0,1.0
