,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"μ_μ_inf[10, Baseline]",3.565,0.456,2.713,4.396,0.007,0.005,4878.0,2869.0,1.0
"μ_μ_inf[10, Rotation]",3.832,0.606,2.717,4.943,0.009,0.006,4660.0,3135.0,1.0
"μ_μ_inf[10, Washout]",4.537,0.753,3.17,5.965,0.01,0.007,5263.0,3186.0,1.0
"μ_μ_inf[10, ReRotation]",3.684,0.626,2.541,4.838,0.009,0.006,4773.0,3061.0,1.0
"μ_μ_inf[10, ReWashout]",3.708,0.679,2.397,4.904,0.01,0.007,4830.0,3065.0,1.0
"μ_μ_inf[12, Baseline]",3.26,0.349,2.669,3.962,0.004,0.003,9097.0,2806.0,1.0
"μ_μ_inf[12, Rotation]",3.293,0.522,2.346,4.235,0.008,0.006,4529.0,2965.0,1.0
"μ_μ_inf[12, Washout]",3.714,0.702,2.398,5.005,0.011,0.008,4450.0,3078.0,1.0
"μ_μ_inf[12, ReRotation]",3.986,0.593,2.909,5.102,0.009,0.006,4975.0,2740.0,1.0
"μ_μ_inf[12, ReWashout]",5.069,0.744,3.742,6.473,0.01,0.007,5454.0,3133.0,1.0
"μ_μ_inf[14, Baseline]",3.251,0.571,2.22,4.313,0.009,0.006,4125.0,3042.0,1.0
"μ_μ_inf[14, Rotation]",3.585,0.57,2.511,4.618,0.008,0.005,5919.0,3295.0,1.0
"μ_μ_inf[14, Washout]",4.477,0.713,3.212,5.848,0.01,0.007,4910.0,2885.0,1.0
"μ_μ_inf[14, ReRotation]",4.471,0.644,3.245,5.655,0.009,0.007,5174.0,2970.0,1.0
"μ_μ_inf[14, ReWashout]",4.698,1.171,2.586,6.857,0.014,0.01,6768.0,2470.0,1.0
"μ_μ_inf[21, Baseline]",3.298,0.364,2.605,3.95,0.005,0.003,5498.0,3048.0,1.0
"μ_μ_inf[21, Rotation]",4.702,0.599,3.6,5.823,0.008,0.006,5741.0,3186.0,1.0
"μ_μ_inf[21, Washout]",5.025,0.733,3.603,6.348,0.01,0.007,5523.0,3201.0,1.0
"μ_μ_inf[21, ReRotation]",4.611,1.047,2.78,6.676,0.014,0.011,5250.0,2912.0,1.0
"μ_μ_inf[21, ReWashout]",4.708,1.139,2.763,6.963,0.013,0.009,8015.0,3055.0,1.0
"μ_μ_inf[3, Baseline]",3.935,0.426,3.12,4.681,0.006,0.004,5825.0,3220.0,1.0
"μ_μ_inf[3, Rotation]",3.93,0.55,2.877,4.947,0.007,0.005,5997.0,2798.0,1.0
"μ_μ_inf[3, Washout]",4.448,0.686,3.21,5.758,0.009,0.007,5565.0,2801.0,1.0
"μ_μ_inf[3, ReRotation]",3.555,0.748,2.175,4.949,0.011,0.008,4686.0,2685.0,1.0
"μ_μ_inf[3, ReWashout]",4.704,1.174,2.606,6.946,0.013,0.01,7748.0,2612.0,1.0
"μ_μ_inf[7, Baseline]",3.521,0.487,2.616,4.442,0.006,0.004,6604.0,2757.0,1.0
"μ_μ_inf[7, Rotation]",3.742,0.59,2.697,4.895,0.009,0.006,4956.0,2663.0,1.0
"μ_μ_inf[7, Washout]",4.509,0.72,3.177,5.83,0.01,0.007,5184.0,2869.0,1.0
"μ_μ_inf[7, ReRotation]",4.806,0.868,3.26,6.475,0.012,0.009,5409.0,3314.0,1.0
"μ_μ_inf[7, ReWashout]",4.721,1.154,2.761,7.012,0.014,0.01,7147.0,2611.0,1.0
"μ_μ_inf[9, Baseline]",3.377,0.376,2.63,4.033,0.004,0.003,7200.0,2925.0,1.0
"μ_μ_inf[9, Rotation]",2.962,0.528,2.025,3.977,0.008,0.006,4482.0,2890.0,1.0
"μ_μ_inf[9, Washout]",4.062,0.71,2.719,5.331,0.01,0.007,5371.0,2793.0,1.0
"μ_μ_inf[9, ReRotation]",4.362,0.608,3.215,5.478,0.008,0.006,5767.0,2519.0,1.0
"μ_μ_inf[9, ReWashout]",4.549,0.73,3.156,5.824,0.01,0.007,5869.0,3132.0,1.0
