,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"x[10, Baseline]",0.303,0.374,-0.216,0.971,0.007,0.005,3784.0,2516.0,1.0
"x[10, Rotation]",0.511,0.396,-0.041,1.28,0.006,0.005,4601.0,2682.0,1.0
"x[10, Washout]",0.584,0.775,-0.396,1.917,0.015,0.01,3521.0,3323.0,1.0
"x[10, ReRotation]",0.498,0.377,0.026,1.028,0.005,0.004,5331.0,2953.0,1.0
"x[10, ReWashout]",0.165,0.507,-0.616,0.996,0.009,0.007,4326.0,2700.0,1.0
"x[12, Baseline]",0.576,0.957,-0.87,2.262,0.016,0.013,4886.0,2709.0,1.0
"x[12, Rotation]",0.286,0.465,-0.562,1.086,0.008,0.006,3906.0,2907.0,1.0
"x[12, Washout]",0.408,0.534,-0.215,1.341,0.009,0.006,4696.0,2489.0,1.0
"x[12, ReRotation]",1.32,1.091,0.076,3.264,0.018,0.015,6447.0,2681.0,1.0
"x[12, ReWashout]",0.932,1.095,-0.364,2.657,0.02,0.014,4180.0,2572.0,1.0
"x[14, Baseline]",0.343,0.507,-0.24,0.979,0.009,0.007,4225.0,2516.0,1.0
"x[14, Rotation]",0.337,0.484,-0.31,1.173,0.008,0.006,4718.0,3169.0,1.0
"x[14, Washout]",0.48,0.602,-0.386,1.515,0.009,0.008,4653.0,3112.0,1.0
"x[14, ReRotation]",0.531,0.666,-0.252,1.726,0.011,0.008,4424.0,2850.0,1.0
"x[14, ReWashout]",0.573,0.939,-1.07,2.199,0.016,0.013,5313.0,2701.0,1.0
"x[21, Baseline]",0.235,0.507,-0.505,1.249,0.009,0.007,4205.0,2637.0,1.0
"x[21, Rotation]",0.69,0.759,-0.301,1.835,0.015,0.012,4384.0,2370.0,1.0
"x[21, Washout]",0.53,0.783,-0.434,1.907,0.014,0.01,4182.0,2373.0,1.0
"x[21, ReRotation]",0.625,0.797,-0.323,1.989,0.015,0.012,3778.0,2669.0,1.0
"x[21, ReWashout]",0.566,0.893,-0.848,2.189,0.015,0.013,4507.0,2683.0,1.0
"x[3, Baseline]",0.255,0.574,-0.602,1.28,0.011,0.007,3925.0,2321.0,1.0
"x[3, Rotation]",1.763,1.29,0.076,3.941,0.02,0.018,5156.0,2665.0,1.0
"x[3, Washout]",1.644,1.949,-0.29,4.767,0.036,0.028,4471.0,2720.0,1.0
"x[3, ReRotation]",0.107,0.453,-0.719,0.924,0.007,0.006,4030.0,2832.0,1.0
"x[3, ReWashout]",0.548,0.919,-0.759,2.357,0.014,0.01,5306.0,2699.0,1.0
"x[7, Baseline]",0.569,0.888,-0.564,2.069,0.016,0.014,5541.0,2741.0,1.0
"x[7, Rotation]",0.577,0.44,-0.044,1.385,0.007,0.006,5030.0,2431.0,1.0
"x[7, Washout]",0.406,0.596,-0.426,1.532,0.011,0.007,3930.0,2519.0,1.0
"x[7, ReRotation]",0.244,0.603,-0.807,1.334,0.01,0.008,4425.0,2795.0,1.0
"x[7, ReWashout]",0.583,0.903,-0.785,2.144,0.015,0.011,4922.0,2886.0,1.0
"x[9, Baseline]",0.571,1.03,-0.802,2.149,0.022,0.016,4020.0,2813.0,1.0
"x[9, Rotation]",0.233,0.36,-0.348,0.864,0.006,0.004,4404.0,2931.0,1.0
"x[9, Washout]",0.507,0.65,-0.38,1.551,0.013,0.01,3846.0,2620.0,1.0
"x[9, ReRotation]",0.645,0.578,-0.138,1.606,0.01,0.007,4225.0,2224.0,1.0
"x[9, ReWashout]",0.242,0.623,-0.722,1.288,0.01,0.008,3898.0,2366.0,1.0
