,Stage,Day,HDI_Lower,HDI_Upper,Mean,PlotDay
0,Baseline,0,1.932,3.985,2.908,-25
1,Baseline,1,2.072,3.427,2.782,-24
2,Baseline,2,2.357,3.432,2.87,-23
3,Baseline,3,2.47,3.374,2.939,-22
4,Baseline,4,2.582,3.365,2.995,-21
5,Baseline,5,2.679,3.391,3.041,-20
6,Baseline,6,2.737,3.411,3.078,-19
7,Baseline,7,2.775,3.437,3.108,-18
8,Baseline,8,2.796,3.455,3.134,-17
9,Baseline,9,2.817,3.48,3.155,-16
10,Baseline,10,2.85,3.526,3.172,-15
11,Baseline,11,2.834,3.501,3.183,-14
12,Baseline,12,2.865,3.537,3.196,-13
13,Baseline,13,2.891,3.569,3.207,-12
14,Baseline,14,2.8,3.572,3.15,-11
15,Baseline,15,2.882,3.57,3.224,-10
16,Baseline,16,2.89,3.583,3.231,-9
17,Baseline,17,2.827,3.699,3.27,-8
18,Baseline,18,2.972,3.742,3.353,-7
19,Baseline,19,2.989,3.683,3.351,-6
20,Baseline,20,2.992,3.688,3.355,-5
21,Baseline,21,2.994,3.691,3.359,-4
22,Baseline,22,3.007,3.708,3.362,-3
23,Baseline,23,3.005,3.66,3.348,-2
24,Baseline,24,2.931,3.646,3.287,-1
25,Rotation,0,1.36,2.639,1.983,0
26,Rotation,1,1.91,2.863,2.363,1
27,Rotation,2,2.249,3.022,2.635,2
28,Rotation,3,2.468,3.149,2.82,3
29,Rotation,4,2.64,3.279,2.951,4
30,Rotation,5,2.748,3.368,3.047,5
31,Rotation,6,2.829,3.447,3.119,6
32,Rotation,7,2.871,3.492,3.174,7
33,Rotation,8,2.902,3.533,3.217,8
34,Rotation,9,2.919,3.564,3.25,9
35,Rotation,10,2.954,3.614,3.277,10
36,Rotation,11,2.969,3.645,3.298,11
37,Rotation,12,2.968,3.657,3.316,12
38,Rotation,13,2.972,3.671,3.33,13
39,Rotation,14,2.993,3.704,3.341,14
40,Washout,0,2.246,3.759,2.996,15
41,Washout,1,2.798,3.883,3.321,16
42,Washout,2,3.071,3.971,3.528,17
43,Washout,3,3.272,4.093,3.668,18
44,Washout,4,3.364,4.169,3.766,19
45,Washout,5,3.435,4.251,3.838,20
46,Washout,6,3.467,4.305,3.891,21
47,Washout,7,3.503,4.366,3.932,22
48,Washout,8,3.526,4.414,3.963,23
49,Washout,9,3.552,4.469,3.988,24
50,ReRotation,0,1.871,3.338,2.577,25
51,ReRotation,1,2.318,3.417,2.844,26
52,ReRotation,2,2.598,3.515,3.069,27
53,ReRotation,3,2.815,3.667,3.229,28
54,ReRotation,4,2.921,3.758,3.345,29
55,ReRotation,5,3.016,3.859,3.433,30
56,ReRotation,6,2.926,3.733,3.335,31
57,ReRotation,7,2.98,3.796,3.397,32
58,ReRotation,8,3.2,4.123,3.644,33
59,ReRotation,9,3.24,4.183,3.694,34
60,ReRotation,10,3.269,4.231,3.735,35
61,ReRotation,11,3.404,4.587,4.006,36
62,ReRotation,12,3.319,4.31,3.793,37
63,ReRotation,13,3.091,4.233,3.659,38
64,ReRotation,14,3.107,4.267,3.679,39
65,ReWashout,0,1.976,4.462,3.179,40
66,ReWashout,1,2.652,4.288,3.456,41
67,ReWashout,2,2.909,4.257,3.605,42
68,ReWashout,3,3.124,4.375,3.694,43
69,ReWashout,4,3.113,4.333,3.752,44
70,ReWashout,5,3.189,4.421,3.791,45
71,ReWashout,6,3.143,4.408,3.818,46
72,ReWashout,7,3.175,4.486,3.839,47
73,ReWashout,8,3.196,4.537,3.854,48
74,ReWashout,9,3.168,4.536,3.865,49
