,fish,stage,day,plotday,y,PlotDay
0,3.0,Baseline,1.0,1.0,3.0,-24
1,3.0,Baseline,2.0,2.0,4.0,-23
2,3.0,Baseline,3.0,3.0,4.0,-22
3,3.0,Baseline,4.0,4.0,4.0,-21
4,3.0,Baseline,5.0,5.0,3.0,-20
5,3.0,Baseline,6.0,6.0,4.0,-19
6,3.0,Baseline,7.0,7.0,3.0,-18
7,3.0,Baseline,8.0,8.0,2.0,-17
8,3.0,Baseline,9.0,9.0,4.0,-16
9,3.0,Baseline,10.0,10.0,4.0,-15
10,3.0,Baseline,11.0,11.0,3.0,-14
11,3.0,Baseline,12.0,12.0,3.0,-13
12,3.0,Baseline,13.0,13.0,4.0,-12
13,3.0,Baseline,14.0,14.0,1.0,-11
14,3.0,Baseline,15.0,15.0,4.0,-10
15,3.0,Baseline,16.0,16.0,3.0,-9
16,3.0,Baseline,17.0,17.0,4.0,-8
17,3.0,Baseline,18.0,18.0,3.0,-7
18,3.0,Baseline,19.0,19.0,5.0,-6
19,3.0,Baseline,20.0,20.0,5.0,-5
20,3.0,Baseline,21.0,21.0,4.0,-4
21,3.0,Baseline,22.0,22.0,2.0,-3
22,3.0,Baseline,23.0,23.0,6.0,-2
23,3.0,Baseline,24.0,24.0,5.0,-1
24,3.0,Rotation,1.0,25.0,0.0,0
25,3.0,Rotation,2.0,26.0,0.0,1
26,3.0,Rotation,3.0,27.0,3.0,2
27,3.0,Rotation,4.0,28.0,4.0,3
28,3.0,Rotation,5.0,29.0,5.0,4
29,3.0,Rotation,6.0,30.0,3.0,5
30,3.0,Rotation,7.0,31.0,4.0,6
31,3.0,Rotation,8.0,32.0,4.0,7
32,3.0,Rotation,9.0,33.0,6.0,8
33,3.0,Rotation,10.0,34.0,2.0,9
34,3.0,Rotation,11.0,35.0,2.0,10
35,3.0,Rotation,12.0,36.0,3.0,11
36,3.0,Rotation,13.0,37.0,4.0,12
37,3.0,Rotation,14.0,38.0,4.0,13
38,3.0,Rotation,15.0,39.0,2.0,14
39,3.0,Washout,1.0,40.0,0.0,15
40,3.0,Washout,2.0,41.0,3.0,16
41,3.0,Washout,3.0,42.0,5.0,17
42,3.0,Washout,4.0,43.0,4.0,18
43,3.0,Washout,5.0,44.0,3.0,19
44,3.0,Washout,6.0,45.0,4.0,20
45,3.0,Washout,7.0,46.0,3.0,21
46,3.0,Washout,8.0,47.0,4.0,22
47,3.0,Washout,9.0,48.0,4.0,23
48,3.0,Washout,10.0,49.0,5.0,24
49,3.0,ReRotation,1.0,50.0,4.0,25
50,3.0,ReRotation,2.0,51.0,5.0,26
51,3.0,ReRotation,3.0,52.0,2.0,27
52,3.0,ReRotation,4.0,53.0,3.0,28
53,3.0,ReRotation,5.0,54.0,2.0,29
54,3.0,ReRotation,6.0,55.0,2.0,30
55,3.0,ReRotation,7.0,56.0,1.0,31
56,3.0,ReRotation,8.0,57.0,2.0,32
57,7.0,Baseline,1.0,1.0,2.0,-12
58,7.0,Baseline,2.0,2.0,2.0,-11
59,7.0,Baseline,3.0,3.0,4.0,-10
60,7.0,Baseline,4.0,4.0,2.0,-9
61,7.0,Baseline,5.0,5.0,3.0,-8
62,7.0,Baseline,6.0,6.0,3.0,-7
63,7.0,Baseline,7.0,7.0,5.0,-6
64,7.0,Baseline,8.0,8.0,3.0,-5
65,7.0,Baseline,9.0,9.0,1.0,-4
66,7.0,Baseline,10.0,10.0,3.0,-3
67,7.0,Baseline,11.0,11.0,5.0,-2
68,7.0,Baseline,12.0,12.0,4.0,-1
69,7.0,Rotation,1.0,13.0,1.0,0
70,7.0,Rotation,2.0,14.0,1.0,1
71,7.0,Rotation,3.0,15.0,4.0,2
72,7.0,Rotation,4.0,16.0,2.0,3
73,7.0,Rotation,5.0,17.0,3.0,4
74,7.0,Rotation,6.0,18.0,3.0,5
75,7.0,Rotation,7.0,19.0,1.0,6
76,7.0,Rotation,8.0,20.0,2.0,7
77,7.0,Rotation,9.0,21.0,2.0,8
78,7.0,Rotation,10.0,22.0,4.0,9
79,7.0,Rotation,11.0,23.0,3.0,10
80,7.0,Rotation,12.0,24.0,4.0,11
81,7.0,Rotation,13.0,25.0,2.0,12
82,7.0,Rotation,14.0,26.0,4.0,13
83,7.0,Rotation,15.0,27.0,5.0,14
84,7.0,Washout,1.0,28.0,3.0,15
85,7.0,Washout,2.0,29.0,4.0,16
86,7.0,Washout,3.0,30.0,4.0,17
87,7.0,Washout,4.0,31.0,4.0,18
88,7.0,Washout,5.0,32.0,3.0,19
89,7.0,Washout,6.0,33.0,2.0,20
90,7.0,Washout,7.0,34.0,3.0,21
91,7.0,Washout,8.0,35.0,4.0,22
92,7.0,Washout,9.0,36.0,5.0,23
93,7.0,Washout,10.0,37.0,6.0,24
94,7.0,ReRotation,1.0,38.0,5.0,25
95,7.0,ReRotation,2.0,39.0,4.0,26
96,7.0,ReRotation,3.0,40.0,4.0,27
97,7.0,ReRotation,4.0,41.0,5.0,28
98,7.0,ReRotation,5.0,42.0,5.0,29
99,7.0,ReRotation,6.0,43.0,3.0,30
100,9.0,Baseline,1.0,1.0,1.0,-22
101,9.0,Baseline,2.0,2.0,0.0,-21
102,9.0,Baseline,3.0,3.0,0.0,-20
103,9.0,Baseline,4.0,4.0,1.0,-19
104,9.0,Baseline,5.0,5.0,2.0,-18
105,9.0,Baseline,6.0,6.0,4.0,-17
106,9.0,Baseline,7.0,7.0,4.0,-16
107,9.0,Baseline,8.0,8.0,4.0,-15
108,9.0,Baseline,9.0,9.0,2.0,-14
109,9.0,Baseline,10.0,10.0,3.0,-13
110,9.0,Baseline,11.0,11.0,2.0,-12
111,9.0,Baseline,12.0,12.0,3.0,-11
112,9.0,Baseline,13.0,13.0,2.0,-10
113,9.0,Baseline,14.0,14.0,3.0,-9
114,9.0,Baseline,15.0,15.0,4.0,-8
115,9.0,Baseline,16.0,16.0,5.0,-7
116,9.0,Baseline,17.0,17.0,5.0,-6
117,9.0,Baseline,18.0,18.0,4.0,-5
118,9.0,Baseline,19.0,19.0,5.0,-4
119,9.0,Baseline,20.0,20.0,5.0,-3
120,9.0,Baseline,21.0,21.0,5.0,-2
121,9.0,Baseline,22.0,22.0,5.0,-1
122,9.0,Rotation,1.0,23.0,3.0,0
123,9.0,Rotation,2.0,24.0,2.0,1
124,9.0,Rotation,3.0,25.0,0.0,2
125,9.0,Rotation,4.0,26.0,3.0,3
126,9.0,Rotation,5.0,27.0,3.0,4
127,9.0,Rotation,6.0,28.0,1.0,5
128,9.0,Rotation,7.0,29.0,2.0,6
129,9.0,Rotation,8.0,30.0,1.0,7
130,9.0,Rotation,9.0,31.0,3.0,8
131,9.0,Rotation,10.0,32.0,4.0,9
132,9.0,Rotation,11.0,33.0,2.0,10
133,9.0,Rotation,12.0,34.0,1.0,11
134,9.0,Rotation,13.0,35.0,2.0,12
135,9.0,Rotation,14.0,36.0,2.0,13
136,9.0,Rotation,15.0,37.0,2.0,14
137,9.0,Washout,1.0,38.0,2.0,15
138,9.0,Washout,2.0,39.0,3.0,16
139,9.0,Washout,3.0,40.0,3.0,17
140,9.0,Washout,4.0,41.0,3.0,18
141,9.0,Washout,5.0,42.0,5.0,19
142,9.0,Washout,6.0,43.0,3.0,20
143,9.0,Washout,7.0,44.0,2.0,21
144,9.0,Washout,8.0,45.0,3.0,22
145,9.0,Washout,9.0,46.0,4.0,23
146,9.0,Washout,10.0,47.0,3.0,24
147,9.0,ReRotation,1.0,48.0,2.0,25
148,9.0,ReRotation,2.0,49.0,2.0,26
149,9.0,ReRotation,3.0,50.0,1.0,27
150,9.0,ReRotation,4.0,51.0,4.0,28
151,9.0,ReRotation,5.0,52.0,5.0,29
152,9.0,ReRotation,6.0,53.0,4.0,30
153,9.0,ReRotation,7.0,54.0,5.0,31
154,9.0,ReRotation,8.0,55.0,3.0,32
155,9.0,ReRotation,9.0,56.0,4.0,33
156,9.0,ReRotation,10.0,57.0,2.0,34
157,9.0,ReRotation,11.0,58.0,3.0,35
158,9.0,ReRotation,12.0,59.0,5.0,36
159,9.0,ReRotation,13.0,60.0,4.0,37
160,9.0,ReRotation,14.0,61.0,5.0,38
161,9.0,ReRotation,15.0,62.0,5.0,39
162,9.0,ReWashout,1.0,63.0,4.0,40
163,9.0,ReWashout,2.0,64.0,4.0,41
164,9.0,ReWashout,3.0,65.0,5.0,42
165,9.0,ReWashout,4.0,66.0,4.0,43
166,9.0,ReWashout,5.0,67.0,4.0,44
167,9.0,ReWashout,6.0,68.0,4.0,45
168,9.0,ReWashout,7.0,69.0,4.0,46
169,9.0,ReWashout,8.0,70.0,4.0,47
170,9.0,ReWashout,9.0,71.0,4.0,48
171,9.0,ReWashout,10.0,72.0,4.0,49
172,10.0,Baseline,1.0,1.0,3.0,-24
173,10.0,Baseline,2.0,2.0,3.0,-23
174,10.0,Baseline,3.0,3.0,0.0,-22
175,10.0,Baseline,4.0,4.0,4.0,-21
176,10.0,Baseline,5.0,5.0,3.0,-20
177,10.0,Baseline,6.0,6.0,4.0,-19
178,10.0,Baseline,7.0,7.0,0.0,-18
179,10.0,Baseline,8.0,8.0,2.0,-17
180,10.0,Baseline,9.0,9.0,1.0,-16
181,10.0,Baseline,10.0,10.0,1.0,-15
182,10.0,Baseline,11.0,11.0,2.0,-14
183,10.0,Baseline,12.0,12.0,4.0,-13
184,10.0,Baseline,13.0,13.0,5.0,-12
185,10.0,Baseline,14.0,14.0,1.0,-11
186,10.0,Baseline,15.0,15.0,4.0,-10
187,10.0,Baseline,16.0,16.0,4.0,-9
188,10.0,Baseline,17.0,17.0,5.0,-8
189,10.0,Baseline,18.0,18.0,5.0,-7
190,10.0,Baseline,19.0,19.0,2.0,-6
191,10.0,Baseline,20.0,20.0,4.0,-5
192,10.0,Baseline,21.0,21.0,5.0,-4
193,10.0,Baseline,22.0,22.0,2.0,-3
194,10.0,Baseline,23.0,23.0,4.0,-2
195,10.0,Baseline,24.0,24.0,4.0,-1
196,10.0,Rotation,1.0,25.0,2.0,0
197,10.0,Rotation,2.0,26.0,1.0,1
198,10.0,Rotation,3.0,27.0,2.0,2
199,10.0,Rotation,4.0,28.0,2.0,3
200,10.0,Rotation,5.0,29.0,4.0,4
201,10.0,Rotation,6.0,30.0,2.0,5
202,10.0,Rotation,7.0,31.0,3.0,6
203,10.0,Rotation,8.0,32.0,4.0,7
204,10.0,Rotation,9.0,33.0,2.0,8
205,10.0,Rotation,10.0,34.0,2.0,9
206,10.0,Rotation,11.0,35.0,5.0,10
207,10.0,Rotation,12.0,36.0,2.0,11
208,10.0,Rotation,13.0,37.0,3.0,12
209,10.0,Rotation,14.0,38.0,4.0,13
210,10.0,Rotation,15.0,39.0,5.0,14
211,10.0,Washout,1.0,40.0,2.0,15
212,10.0,Washout,2.0,41.0,3.0,16
213,10.0,Washout,3.0,42.0,5.0,17
214,10.0,Washout,4.0,43.0,4.0,18
215,10.0,Washout,5.0,44.0,4.0,19
216,10.0,Washout,6.0,45.0,5.0,20
217,10.0,Washout,7.0,46.0,4.0,21
218,10.0,Washout,8.0,47.0,3.0,22
219,10.0,Washout,9.0,48.0,4.0,23
220,10.0,Washout,10.0,49.0,4.0,24
221,10.0,ReRotation,1.0,50.0,2.0,25
222,10.0,ReRotation,2.0,51.0,0.0,26
223,10.0,ReRotation,3.0,52.0,1.0,27
224,10.0,ReRotation,4.0,53.0,2.0,28
225,10.0,ReRotation,5.0,54.0,3.0,29
226,10.0,ReRotation,6.0,55.0,2.0,30
227,10.0,ReRotation,7.0,56.0,3.0,31
228,10.0,ReRotation,8.0,57.0,3.0,32
229,10.0,ReRotation,9.0,58.0,3.0,33
230,10.0,ReRotation,10.0,59.0,2.0,34
231,10.0,ReRotation,11.0,60.0,3.0,35
232,10.0,ReRotation,12.0,61.0,4.0,36
233,10.0,ReRotation,13.0,62.0,4.0,37
234,10.0,ReRotation,14.0,63.0,3.0,38
235,10.0,ReWashout,1.0,64.0,4.0,39
236,10.0,ReWashout,2.0,65.0,4.0,40
237,10.0,ReWashout,3.0,66.0,4.0,41
238,10.0,ReWashout,4.0,67.0,0.0,42
239,10.0,ReWashout,5.0,68.0,2.0,43
240,10.0,ReWashout,6.0,69.0,4.0,44
241,10.0,ReWashout,7.0,70.0,3.0,45
242,10.0,ReWashout,8.0,71.0,2.0,46
243,10.0,ReWashout,9.0,72.0,2.0,47
244,10.0,ReWashout,10.0,73.0,4.0,48
245,12.0,Baseline,1.0,1.0,3.0,-24
246,12.0,Baseline,2.0,2.0,2.0,-23
247,12.0,Baseline,3.0,3.0,4.0,-22
248,12.0,Baseline,4.0,4.0,2.0,-21
249,12.0,Baseline,5.0,5.0,3.0,-20
250,12.0,Baseline,6.0,6.0,1.0,-19
251,12.0,Baseline,7.0,7.0,2.0,-18
252,12.0,Baseline,8.0,8.0,3.0,-17
253,12.0,Baseline,9.0,9.0,4.0,-16
254,12.0,Baseline,10.0,10.0,3.0,-15
255,12.0,Baseline,11.0,11.0,2.0,-14
256,12.0,Baseline,12.0,12.0,3.0,-13
257,12.0,Baseline,13.0,13.0,3.0,-12
258,12.0,Baseline,14.0,14.0,5.0,-11
259,12.0,Baseline,15.0,15.0,3.0,-10
