fish,stage,day,plotday,trial,EST,yds,distance
fish10,Baseline,1,1,1,1.0,-2.765430943,2.728386052
fish10,Baseline,1,1,2,0.0,110.1973336,13.25409819
fish10,Baseline,1,1,3,0.771780167,-5.197914951,3.482811739
fish10,Baseline,1,1,4,0.902557526,-4.254510169,6.452188068
fish10,Baseline,1,1,5,0.0,-114.9459236,13.02436958
fish10,Baseline,1,1,6,1.0,-1.347615323,2.457542688
fish10,Baseline,2,2,1,0.0,-26.8563062,7.63503505
fish10,Baseline,2,2,2,0.988655243,3.142475961,2.641807188
fish10,Baseline,2,2,3,0.0,-93.42504433,6.070057788
fish10,Baseline,2,2,4,0.0,16.13635705,4.965515034
fish10,Baseline,2,2,5,0.960893784,-3.470512817,2.340794102
fish10,Baseline,2,2,6,1.0,1.211660671,5.706236601
fish10,Baseline,3,3,1,0.0,124.910831,27.63802429
fish10,Baseline,3,3,2,0.0,-29.02175247,24.68050851
fish10,Baseline,3,3,3,0.0,43.49090262,25.41238074
fish10,Baseline,3,3,4,0.0,95.12218564,24.31971358
fish10,Baseline,3,3,5,0.0,124.836722,29.87609351
fish10,Baseline,3,3,6,0.0,-118.0032013,34.27670656
fish10,Baseline,4,4,1,0.0,62.49223592,12.70872868
fish10,Baseline,4,4,2,0.537634048,-8.65017076,6.89847231
fish10,Baseline,4,4,3,0.618105087,-8.050073996,8.091208502
fish10,Baseline,4,4,4,1.0,-3.069850409,2.206436383
fish10,Baseline,4,4,5,1.0,-0.007459659,7.448182638
fish10,Baseline,4,4,6,0.0,-84.77951975,15.83368837
fish10,Baseline,5,5,1,1.0,-0.192939744,2.485673926
fish10,Baseline,5,5,2,0.0,91.32136666,16.19301418
fish10,Baseline,5,5,3,1.0,0.04102915,3.418928358
fish10,Baseline,5,5,4,0.066108856,-13.002251,2.383000769
fish10,Baseline,5,5,5,0.0,-28.18884082,13.50699028
fish10,Baseline,5,5,6,0.741186295,-6.036233151,2.738792743
fish10,Baseline,6,6,1,0.0,137.0935739,17.45473691
fish10,Baseline,6,6,2,0.630159531,-6.857183782,2.515573941
fish10,Baseline,6,6,3,0.651855621,6.221744717,2.771431795
fish10,Baseline,6,6,4,0.676202927,-6.641051475,2.671948747
fish10,Baseline,6,6,5,0.690956268,5.945510761,3.562449349
fish10,Baseline,6,6,6,0.0,-108.1769981,17.2461198
fish10,Baseline,7,7,1,0.0,43.27365097,16.46001402
fish10,Baseline,7,7,2,0.0,-126.0585619,31.69611096
fish10,Baseline,7,7,3,0.0,157.6688963,25.62173401
fish10,Baseline,7,7,4,0.0,144.2814123,27.49434016
fish10,Baseline,7,7,5,0.0,-145.7599614,25.44077329
fish10,Baseline,7,7,6,0.0,-12.42049197,14.73256929
fish10,Baseline,8,8,1,0.0,-117.7675042,25.30382409
fish10,Baseline,8,8,2,0.0,175.9949164,20.93182616
fish10,Baseline,8,8,3,0.0,0.057402018,9.273568895
fish10,Baseline,8,8,4,0.825243149,-5.356080717,2.245585918
fish10,Baseline,8,8,5,0.823516998,5.224842886,6.898578428
fish10,Baseline,8,8,6,0.0,-16.84525417,11.2318288
fish10,Baseline,9,9,1,0.0,-122.0540658,17.72290748
fish10,Baseline,9,9,2,0.0,-104.9539037,19.44380027
fish10,Baseline,9,9,3,0.722017441,-5.984031518,3.070967909
fish10,Baseline,9,9,4,0.0,-23.56014097,10.53026074
fish10,Baseline,9,9,5,0.0,-88.63301268,22.85939264
fish10,Baseline,9,9,6,0.0,-80.11403712,17.79642588
fish10,Baseline,10,10,1,0.0,-164.8067652,22.06589085
fish10,Baseline,10,10,2,0.0,-101.624626,20.819517
fish10,Baseline,10,10,3,0.0,-40.41033843,15.45542814
fish10,Baseline,10,10,4,0.0,-129.5070606,21.33017117
fish10,Baseline,10,10,5,1.0,1.532479781,5.704412082
fish10,Baseline,10,10,6,0.0,-15.5337581,6.774779627
fish10,Baseline,11,11,1,1.0,-0.044243094,2.840026109
fish10,Baseline,11,11,2,0.0,-131.7336306,15.37140294
fish10,Baseline,11,11,3,0.0,-30.15029843,9.186795213
fish10,Baseline,11,11,4,0.0,-101.9511711,14.65193567
fish10,Baseline,11,11,5,0.0,-135.8349951,10.80155169
fish10,Baseline,11,11,6,1.0,-2.770417759,2.412762598
fish10,Baseline,12,12,1,0.685625229,-6.497410694,2.294196541
fish10,Baseline,12,12,2,1.0,0.005520909,2.305637085
fish10,Baseline,12,12,3,0.0,-64.70757425,15.88268556
fish10,Baseline,12,12,4,0.958242569,-3.517728541,10.55130741
fish10,Baseline,12,12,5,1.0,2.244511369,2.974612635
fish10,Baseline,12,12,6,0.898733292,-4.327489645,2.410615715
fish10,Baseline,13,13,1,0.0,14.92829995,5.662939285
fish10,Baseline,13,13,2,0.808677826,-5.281107835,2.313575223
fish10,Baseline,13,13,3,1.0,2.730639603,2.263246807
fish10,Baseline,13,13,4,0.799942169,-5.262071163,2.552031926
