y,fish,stage,day,plotday,μ_μ_y,μ_μ_hdi_3%,μ_μ_hdi_97%,μ_y,μ_hdi_3%,μ_hdi_97%,ppc_y,ppc_hdi_3%,ppc_hdi_97%
3,10,Baseline,1,1,2.383,0.846,4.07,2.383,0.846,4.07,2.418,0.0,5.0
3,10,Baseline,2,2,2.618,1.391,3.849,2.618,1.391,3.849,2.632,0.0,6.0
0,10,Baseline,3,3,2.797,1.79,3.838,2.797,1.79,3.838,2.794,0.0,6.0
4,10,Baseline,4,4,2.936,2.021,3.8,2.936,2.021,3.8,2.978,0.0,6.0
3,10,Baseline,5,5,3.046,2.219,3.822,3.046,2.219,3.822,3.03,0.0,6.0
4,10,Baseline,6,6,3.135,2.404,3.899,3.135,2.404,3.899,3.152,0.0,6.0
0,10,Baseline,7,7,3.207,2.506,3.921,3.207,2.506,3.921,3.261,0.0,6.0
2,10,Baseline,8,8,3.266,2.538,3.928,3.266,2.538,3.928,3.259,0.0,6.0
1,10,Baseline,9,9,3.315,2.633,4.003,3.315,2.633,4.003,3.322,0.0,6.0
1,10,Baseline,10,10,3.355,2.687,4.07,3.355,2.687,4.07,3.391,0.0,6.0
2,10,Baseline,11,11,3.389,2.692,4.09,3.389,2.692,4.09,3.4,0.0,7.0
5,10,Baseline,12,12,3.417,2.731,4.138,3.417,2.731,4.138,3.393,0.0,7.0
5,10,Baseline,13,13,3.441,2.74,4.162,3.441,2.74,4.162,3.42,0.0,7.0
2,10,Baseline,14,14,3.461,2.754,4.2,3.461,2.754,4.2,3.454,1.0,7.0
4,10,Baseline,16,16,3.493,2.729,4.224,3.493,2.729,4.224,3.494,0.0,7.0
4,10,Baseline,17,17,3.506,2.731,4.244,3.506,2.731,4.244,3.502,0.0,7.0
5,10,Baseline,18,18,3.517,2.74,4.28,3.517,2.74,4.28,3.504,0.0,7.0
6,10,Baseline,19,19,3.526,2.771,4.331,3.526,2.771,4.331,3.502,0.0,7.0
1,10,Baseline,20,20,3.534,2.775,4.352,3.534,2.775,4.352,3.55,0.0,7.0
5,10,Baseline,21,21,3.541,2.757,4.348,3.541,2.757,4.348,3.529,1.0,7.0
5,10,Baseline,22,22,3.547,2.742,4.352,3.547,2.742,4.352,3.569,0.0,7.0
3,10,Baseline,23,23,3.552,2.735,4.356,3.552,2.735,4.356,3.505,1.0,7.0
5,10,Baseline,24,24,3.556,2.734,4.369,3.556,2.734,4.369,3.503,1.0,7.0
4,10,Baseline,25,25,3.56,2.728,4.376,3.56,2.728,4.376,3.538,1.0,7.0
1,10,Rotation,1,26,1.538,0.161,2.955,1.538,0.161,2.955,1.538,0.0,4.0
1,10,Rotation,2,27,2.024,0.913,3.162,2.024,0.913,3.162,2.046,0.0,5.0
2,10,Rotation,3,28,2.366,1.434,3.375,2.366,1.434,3.375,2.361,0.0,5.0
2,10,Rotation,4,29,2.618,1.755,3.532,2.618,1.755,3.532,2.593,0.0,5.0
4,10,Rotation,5,30,2.808,1.989,3.67,2.808,1.989,3.67,2.811,0.0,6.0
2,10,Rotation,6,31,2.954,2.101,3.743,2.954,2.101,3.743,2.938,0.0,6.0
3,10,Rotation,7,32,3.068,2.237,3.87,3.068,2.237,3.87,3.009,0.0,6.0
4,10,Rotation,8,33,3.158,2.332,3.984,3.158,2.332,3.984,3.169,0.0,6.0
2,10,Rotation,9,34,3.23,2.385,4.065,3.23,2.385,4.065,3.203,0.0,6.0
2,10,Rotation,10,35,3.288,2.434,4.155,3.288,2.434,4.155,3.246,0.0,6.0
5,10,Rotation,11,36,3.335,2.498,4.273,3.335,2.498,4.273,3.316,0.0,6.0
2,10,Rotation,12,37,3.373,2.48,4.304,3.373,2.48,4.304,3.411,0.0,7.0
3,10,Rotation,13,38,3.405,2.495,4.363,3.405,2.495,4.363,3.442,0.0,7.0
5,10,Rotation,14,39,3.431,2.48,4.39,3.431,2.48,4.39,3.438,0.0,7.0
5,10,Rotation,15,40,3.452,2.484,4.436,3.452,2.484,4.436,3.462,0.0,7.0
2,10,Washout,1,41,3.363,1.16,5.395,3.363,1.16,5.395,3.394,0.0,7.0
3,10,Washout,2,42,3.693,2.219,5.201,3.693,2.219,5.201,3.72,0.0,7.0
5,10,Washout,3,43,3.899,2.626,5.092,3.899,2.626,5.092,3.89,0.0,7.0
4,10,Washout,4,44,4.039,2.895,5.119,4.039,2.895,5.119,4.005,0.0,7.0
4,10,Washout,5,45,4.136,3.04,5.221,4.136,3.04,5.221,4.112,1.0,8.0
6,10,Washout,6,46,4.207,3.113,5.332,4.207,3.113,5.332,4.21,1.0,8.0
4,10,Washout,7,47,4.26,3.084,5.379,4.26,3.084,5.379,4.248,1.0,8.0
3,10,Washout,8,48,4.299,3.108,5.481,4.299,3.108,5.481,4.287,1.0,8.0
5,10,Washout,9,49,4.33,3.064,5.501,4.33,3.064,5.501,4.275,1.0,8.0
5,10,Washout,10,50,4.353,3.098,5.598,4.353,3.098,5.598,4.324,1.0,8.0
1,10,ReRotation,1,51,1.216,0.069,2.443,1.216,0.069,2.443,1.229,0.0,4.0
0,10,ReRotation,2,52,1.664,0.742,2.697,1.664,0.742,2.697,1.674,0.0,4.0
2,10,ReRotation,3,53,1.995,1.124,2.891,1.995,1.124,2.891,2.014,0.0,5.0
2,10,ReRotation,4,54,2.246,1.445,3.093,2.246,1.445,3.093,2.246,0.0,5.0
3,10,ReRotation,5,55,2.441,1.686,3.277,2.441,1.686,3.277,2.42,0.0,5.0
2,10,ReRotation,6,56,2.594,1.835,3.4,2.594,1.835,3.4,2.565,0.0,5.0
3,10,ReRotation,7,57,2.716,1.978,3.539,2.716,1.978,3.539,2.721,0.0,6.0
2,10,ReRotation,8,58,2.813,1.988,3.576,2.813,1.988,3.576,2.777,0.0,6.0
3,10,ReRotation,9,59,2.891,2.1,3.721,2.891,2.1,3.721,2.911,0.0,6.0
